"","item_label","existing"
"1","Jeff Sessions",NA
"2","Rod J. Rosenstein",NA
"3","Richard E. Zuckerman",NA
"4","Matthew Baughman",NA
"5","Rachel L. Brand",NA
"6","Sonya K. Chavez",NA
"7","Jeffrey Wood",NA
"8","Henry Whitaker",NA
"9","Thomas Wheeler",NA
"10","Thomas Ward",NA
"11","Jeffrey Wall",NA
"12","Jonathan Brightbill",NA
"13","David Burns",NA
"14","Mark Champoux",NA
"15","Jeremy M. Bylund",NA
"16","Steven H. Cook",NA
"17","John Cronan",NA
"18","James Crowell",NA
"19","Ethan Davis",NA
"20","Matt M. Dummermuth",NA
"21","Steven A. Engel",NA
"22","Stephen Cox",NA
"23","Elizabeth Escolona",NA
"24","Andrew Finch",NA
"25","Michael Fragoso",NA
"26","Curtis E. Gannon",NA
"27","John Gore",NA
"28","Eric Grant",NA
"29","Travis Greaves",NA
"30","Alan Hanson",NA
"31","Liam Hardy",NA
"32","Sarah Harris",NA
"33","Robert K. Hur",NA
"34","Donald Kempf",NA
"35","David Lasseter",NA
"36","Donald R. Livingston",NA
"37","Eric MacArthur",NA
"38","Trevor McFadden",NA
"39","Matthew Miner",NA
"40","Hashim Mooppan",NA
"41","David M. Morrell",NA
"42","Claire Murray",NA
"43","Brian Murray",NA
"44","Ryan Newman",NA
"45","Bernard Nigro",NA
"46","Brian Pandya",NA
"47","Jessie Panuccio",NA
"48","Andrew Peterson",NA
"49","Chad Readler",NA
"50","Brett Shumate",NA
"51","Scott Stewart",NA
"52","Brett Talley",NA
"53","George Terwilliger",NA
"54","Rene Augustine",NA
"55","Jorge Aguinaga",NA
"56","Kelli Andrews",NA
"57","Omeed Assefi",NA
"58","Jennifer Dickey",NA
"59","Gary Barnett",NA
"60","Spencer Bassett",NA
"61","Jonathan Berry",NA
"62","Jordan Von Borkern",NA
"63","Zachary Bolitho",NA
"64","Guy F. Burnett",NA
"65","James M. Burnham",NA
"66","Christopher J. Constantini",NA
"67","Michael Costigan",NA
"68","Katherine Crytzer",NA
"69","Danielle Cutrona",NA
"70","Carlton J. Davis",NA
"71","Joseph Edlow",NA
"72","Brittian Featherston",NA
"73","Lindsey A. Freeman",NA
"74","Joshua Gardner",NA
"75","Aram A. Gavoor",NA
"76","Matthew Glover",NA
"77","Lauren Goldschmidt",NA
"78","Christopher K. Grieco",NA
"79","Gene P. Hamilton",NA
"80","Mary Blanche N. Hankey",NA
"81","Kenneth Harris",NA
"82","Jessica Hart",NA
"83","Tara Helfman",NA
"84","Annie Hsiao",NA
"85","Andrew Hudson",NA
"86","Ethan B. Kanter",NA
"87","William Levi",NA
"88","Jennifer B. Lichter",NA
"89","Daniel Loveland",NA
"90","Gerald Lucas",NA
"91","Amelia Medina",NA
"92","Brandon Middleton",NA
"93","Chad Mizelle",NA
"94","John S. Moran",NA
"95","Brian Morrissey",NA
"96","Joseph Mott",NA
"97","Michael Murray",NA
"98","Patricia M. Nation",NA
"99","Sam G. Nazzaro",NA
"100","Taylor Owings",NA
"101","David Palmer",NA
"102","Rachel Parker-Bissex",NA
"103","James Percival",NA
"104","Lindsay Pickell",NA
"105","Bethany Pickett",NA
"106","Samuel Ramer",NA
"107","William Rinner",NA
"108","Reed Rubinstein",NA
"109","David Rybicki",NA
"110","Julia A. Schiller",NA
"111","Matthew Sheehan",NA
"112","Corinne Snow",NA
"113","James Swanson",NA
"114","Lindsey De La Torre",NA
"115","Rachael Tucker",NA
"116","Jessica Vu",NA
"117","Matthew G. Whitaker",NA
"118","Danielle Douglas",NA
"119","Dorothy Williams",NA
"120","Sarah Isgur",NA
"121","Philip Keith",NA
"122","Krystle Mitchell",NA
"123","Paul Moore",NA
"124","Ian Prior",NA
"125","Guice Slawson",NA
"126","Lathika Mary Thomas",NA
"127","Kerri Kupec",NA
"128","Tracy Toulou",NA
"129","Gerri Ratliff",NA
"130","Rosalind Burns",NA
"131","Jeffrey R. Ragsdale",NA
"132","Lee J. Lofthus",NA
"133","Sylvia M. Becker",NA
"134","Bobak Talebian",NA
"135","Clifford J. White",NA
"136","Timothy J. Shea",NA
"137","Stacy Ludwig",NA
"138","Patricia K. Cushwa",NA
"139","Adam W. Cohen",NA
