"","item_label","bachelors","masters","law","law_rank","law_conservative_score"
"1","Aaron L. Weisman","Brandeis University",NA,"Benjamin N. Cardozo School of Law",43,78
"2","Andrew Lelling","Binghamton University",NA,"University of Pennsylvania Law School",6,66
"3","Ariana Fajardo Orshan","Florida International University",NA,"Nova Southeastern University",157,103
"4","B. J. Pak","Stetson University",NA,"University of Illinois College of Law",36,29
"5","Bart Davis","Brigham Young University",NA,"University of Idaho College of Law",115,127
"6","Billy J. Williams","Washington State University",NA,"Willamette University College of Law",136,43
"7","Bobby Christine","University of Georgia",NA,"Cumberland School of Law",148,160
"8","Brandon J. Fremin","Southeastern Louisiana University",NA,"Paul M. Hebert Law Center",102,171
"9","Brian Kuester","University of Central Missouri",NA,"University of Tulsa College of Law",102,109
"10","Brian T. Moran","Middlebury College",NA,"Seattle University School of Law",102,14
"11","Bryan Schroder","United States Coast Guard Academy",NA,"University of Washington School of Law",29,59
"12","Charles Peeler","University of Georgia",NA,"University of Georgia School of Law",29,150
"13","Christina E. Nolan","University of Vermont",NA,"Boston College Law School",24,57
"14","D. Michael Dunavant","University of Tennessee",NA,"University of Mississippi School of Law",92,143
"15","David Anderson","San Jose State University",NA,"Stanford Law School",4,37
"16","David C. Joseph","University of Oklahoma",NA,"Paul M. Hebert Law Center",102,171
"17","David C. Weiss","Washington University in St. Louis",NA,"Widener University School of Law",173,96
"18","David Freed","Washington and Lee University",NA,"Dickinson School of Law",52,88
"19","David M. DeVillers","State University of New York at Oswego",NA,"Capital University Law School",166,161
"20","Donald Q. Cochran","Vanderbilt University",NA,"Vanderbilt University Law School",15,140
"21","Doug Overbey","Carson Newman University",NA,"University of Tennessee College of Law",64,111
"22","Drew Wrigley","University of North Dakota",NA,"Washington College of Law",64,61
"23","Duane Kees","University of Arkansas",NA,"University of Arkansas School of Law",102,137
"24","Erica MacDonald","University of Notre Dame",NA,"DePaul University College of Law",115,63
"25","Erin Nealy Cox",NA,NA,"University of Texas School of Law",15,120
"26","G. Zachary Terwilliger","University of Virginia",NA,"William & Mary School of Law",36,146
"27","Halsey Frank","Wesleyan University",NA,"Boston University School of Law",19,21
"28","J. Cody Hiland","University of Central Arkansas",NA,"William H. Bowen School of Law",148,128
"29","Jason R. Dunn","University of Colorado","University of Colorado","University of Colorado Law School",36,26
"30","Jay Town","University of Notre Dame",NA,"Seton Hall University",64,91
"31","Jeffrey Jensen","Indiana University",NA,"Saint Louis University School of Law",92,138
"32","Jessie K. Liu","Harvard University",NA,"Yale Law School",1,33
"33","John Bash","Harvard University",NA,"Harvard Law School",1,25
"34","John C. Anderson","Bowdoin College",NA,"Fordham University School of Law",24,63
"35","John C. Milhiser","James Madison University",NA,"University of Illinois College of Law",36,29
"36","John Durham","Colgate University",NA,"University of Connecticut School of Law",64,16
"37","John R. Lausch Jr.","Harvard University",NA,"Northwestern University School of Law",8,56
"38","John W. Huber","University of Utah",NA,"University of Utah College of Law",58,81
"39","Joseph D. Brown","University of Texas at Austin",NA,"Dedman School of Law",43,149
"40","Joseph P. Kelly","University of Nebraska",NA,"University of Nebraska College of Law",88,132
"41","Joshua Minkler","Wabash College",NA,"Indiana University Maurer School of Law",115,82
"42","Justin Herdman","Ohio University","University of Glasgow","Harvard Law School",1,25
"43","Kenji M. Price","Gonzaga University",NA,"University of Pennsylvania Law School",6,66
"44","Kurt Alme","University of Colorado",NA,"Harvard Law School",1,25
"45","Larry Keefe","University of Florida",NA,"Fredric G. Levin College of Law",29,104
"46","Louis V. Franklin Sr.","University of Alabama","Auburn University at Montgomery","Howard University School of Law",148,NA
"47","Marc Krickbaum","University of Iowa",NA,"Harvard Law School",1,25
"48","Maria Chapa Lopez","University of Texas","The Judge Advocate General's Legal Center and School","South Texas College of Law",148,176
"49","Mark Klaassen","Oral Roberts University",NA,"Notre Dame Law School",21,163
"50","Matthew J. Schneider","Michigan State University",NA,"University of Michigan Law School",8,36
"51","Matthew Krueger","University of Wisconsin–Madison",NA,"University of Minnesota Law School",24,44
"52","Matthew Martin","University of North Carolina",NA,"University of North Carolina School of Law",43,58
"53","McGregor W. Scott","Santa Clara University",NA,"University of California, Hastings College of the Law",64,27
"54","Michael B. Stuart","West Virginia University",NA,"Boston University School of Law",19,21
"55","Michael G. Bailey","Westmont College",NA,"Sandra Day O'Connor College of Law",29,110
"56","Nicholas A. Trutanich","University of California, Davis",NA,"Georgetown University Law Center",15,38
"57","Nicola T. Hanna","University of California, San Diego",NA,"Georgetown University Law Center",15,38
"58","Peter Deegan","University of Notre Dame",NA,"Wayne State University Law School",64,94
"59","Peter G. Strasser","University of Virginia",NA,"Washington and Lee University School of Law",29,12
"60","Peter M. McCoy Jr.","Hampden-Sydney College",NA,"Regent University School of Law",102,184
"61","R. Andrew Murray","University of North Carolina at Charlotte",NA,"University of North Carolina School of Law",43,58
"62","R. Trent Shores","Vanderbilt University",NA,"University of Oklahoma College of Law",77,159
"63","Richard W. Moore","Spring Hill College",NA,"Cumberland School of Law",148,160
"64","Robert Higdon Jr.","Wake Forest University",NA,"Wake Forest University School of Law",36,51
"65","Robert Kyoung Hur","Harvard University",NA,"Stanford Law School",4,37
"66","Robert M. Duncan Jr.","Centre College",NA,"University of Kentucky College of Law",92,167
"67","Robert S. Brewer Jr.","St. Lawrence University",NA,"University of San Diego School of Law",58,105
"68","Ron A. Parsons Jr.","University of Minnesota",NA,"University of South Dakota School of Law",157,173
"69","Russell Coleman","University of Kentucky",NA,"University of Kentucky College of Law",92,167
"70","Ryan Patrick","Baylor University",NA,"South Texas College of Law",148,176
"71","Scott Blader","University of Wisconsin-Oshkosh",NA,"Marquette University Law School",102,126
"72","Scott Brady","Harvard University",NA,"Dickinson School of Law",52,88
"73","Scott W. Murray","University of New Hampshire","University of New Hampshire","University of New Hampshire School of Law",88,9
"74","Sherri Lydon","Clemson University",NA,"University of South Carolina School of Law",92,164
"75","Stephen McAllister","University of Kansas",NA,"University of Kansas School of Law",77,141
"76","Thomas Kirsch","Indiana University",NA,"Harvard Law School",1,25
"77","Thomas T. Cullen","Furman University",NA,"William & Mary School of Law",36,146
"78","Timothy A. Garrison","Drury University","University of Missouri","University of Missouri School of Law",77,98
"79","Timothy J. Downing","University of Oklahoma","Oral Roberts University","Regent University School of Law",102,184
"80","Tom Leonard","University of Michigan",NA,"Michigan State University College of Law",102,156
"81","W. Stephen Muldrow","Bucknell University","American University School of International Service","Washington College of Law",64,61
"82","William D. Hyslop","Washington State University","University of Washington","Gonzaga University School of Law",102,107
"83","William J. Powell","Salem College",NA,"West Virginia University College of Law",115,134
"84","William M. McSwain","Yale University",NA,"Harvard Law School",1,25
