id,person,position_current,source,url,date_of_appointment,date_of_birth,age,birthplace,sex,bachelors,masters,doctorate,law,law_conservative_score,law_rank,barr_appointment,political_affiliation,connection_trump,connection_trumpally,connection_conservativeagenda,connection_careerprofessional,connection_other,american_center_for_law_and_justice,christian_legal_society_bar_association,federalist_society,heritage_foundation,national_rifle_association_tie,republican_national_lawyers_association_tie
1,"Donald Q. Cochran","U.S. Attorney for the M.D. of Tennessee",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Donald_Q._Cochran_official_photo.jpg/220px-Donald_Q._Cochran_official_photo.jpg,2017/09/21,NA,NA,,male,"Vanderbilt University",NA,NA,"Vanderbilt University",-0.556,15,0,NA,0,0,1,0,1,NA,NA,1,NA,NA,NA
2,"Bryan Schroder","U.S. Attorney for the District of Alaska",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Bryan_Schroder_official_portrait.jpg/220px-Bryan_Schroder_official_portrait.jpg,2017/11/21,1959/02/03,61,,male,"United States Coast Guard Academy",NA,NA,"University of Washington",-0.806,29,0,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA
3,"Peter G. Strasser","U.S. Attorney for the E.D. of Louisiana",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/P.G.Strasser.jpg/220px-P.G.Strasser.jpg,2018/09/10,NA,NA,,male,"University of Virginia",NA,NA,"Washington and Lee University",-0.401,29,0,NA,0,0,1,1,0,NA,NA,NA,NA,NA,NA
4,"Michael Sherwin",NA,prosecutor,https://www.justice.gov/sites/default/files/styles/width_2/public/pages/images/2020/05/21/michaelsherwin.jpg?itok=Z3JEy7EY,NA,NA,NA,NA,NA,"Ohio State University",NA,NA,"University of Notre Dame",-0.196,21,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA
5,"Russell Coleman","U.S. Attorney for the W.D. of Kentucky",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Russell_Coleman_official_photo.jpg/220px-Russell_Coleman_official_photo.jpg,2017/09/22,NA,NA,,male,"University of Kentucky",NA,NA,"University of Kentucky",0.039,92,0,Republican,1,0,1,0,0,NA,NA,NA,NA,NA,NA
6,"Jay Town","U.S. Attorney for the N.D. of Alabama",prosecutor,https://upload.wikimedia.org/wikipedia/commons/b/b2/Jay_Town_official_portrait.jpg,2017/08/11,1973/08/26,47,,male,"University of Notre Dame",NA,NA,"Seton Hall University School of Law",-0.467,64,0,Republican,0,1,1,0,0,NA,NA,NA,NA,NA,NA
7,"Timothy A. Garrison","U.S. Attorney for the W.D. of Missouri",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Garrison.timothy.jpg/220px-Garrison.timothy.jpg,2018/01/05,1976/01/01,44,Urbana,male,"Drury University","University of Missouri",NA,"University of Missouri",-0.197,77,0,Republican,0,0,1,1,0,NA,NA,1,NA,NA,1
8,"Brandon Fremin",NA,prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Brandon_Fremin_official_photo.jpg/220px-Brandon_Fremin_official_photo.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA
9,"John Bash","U.S. Attorney for the W.D. of Texas",prosecutor,https://upload.wikimedia.org/wikipedia/commons/5/5c/John_Bash.jpg,2017/12/11,NA,NA,,male,"Harvard University",NA,NA,"Harvard University",-0.816,1,0,NA,1,0,1,0,0,NA,NA,1,NA,NA,NA
10,"J. Cody Hiland","U.S. Attorney for the E.D. of Arkansas",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/J._Cody_Hiland_official_photo.jpg/220px-J._Cody_Hiland_official_photo.jpg,2017/10/10,1975/01/01,45,,male,"University of Central Arkansas",NA,NA,"University of Arkansas, Little Rock",-0.29,102,0,NA,0,1,1,0,0,NA,NA,NA,NA,NA,NA
11,"J. Cody Hiland","U.S. Attorney for the E.D. of Arkansas",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/J._Cody_Hiland_official_photo.jpg/220px-J._Cody_Hiland_official_photo.jpg,2017/10/10,1975/01/01,45,,male,"University of Central Arkansas",NA,NA,"University of Arkansas, Little Rock",-0.29,148,0,NA,0,1,1,0,0,NA,NA,NA,NA,NA,NA
