"","person","position_current","source","date_of_appointment","date_of_birth","age","birthplace","sex","barr_appointment","political_affiliation","bachelors","masters","doctorate","law","law_conservative_score","law_rank","connection_trump_all","connection_trump_interviews","connection_trump_campaign","connection_trumpally_all","connection_trumpally_innercircle","connection_trumpally_us_senate","connection_trumpally_state_gov","connection_trumpally_rnc","connection_conservative_all","connection_conservative_lawschool","connection_conservative_firm","connection_conservative_group","connection_conservative_gov","federalist_society","heritage_foundation","american_center_for_law_and_justice","christian_legal_society_bar_association","national_rifle_association_tie","republican_national_lawyers_association_tie","connection_careerprofessional_all","connection_other_all"
"1","Aaron L. Weisman","U.S. Attorney for the District of Rhode Island","prosecutor","1/14/2019","1965-01-01",55,"","male",0,"Republican","Brandeis University",NA,NA,"Benjamin N. Cardozo School of Law",-0.839,43,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1
"2","Andrew B. Birge","U.S. Attorney for the W.D. of Michigan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"3","Andrew Lelling","U.S. Attorney for the District of Massachusetts","prosecutor","12/21/2017","1970-01-01",50,"","male",0,"Republican","Binghamton University",NA,NA,"University of Pennsylvania",-0.865,6,0,0,0,0,0,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,NA,1,0
"4","Ariana Fajardo Orshan","U.S. Attorney for the S.D. of Florida","prosecutor","9/18/2018",NA,NA,"","female",0,NA,"Florida International University",NA,NA,"Nova Southeastern University",-0.224,157,0,0,0,0,0,0,0,0,1,1,0,1,0,1,NA,NA,NA,NA,NA,0,1
"5","B.J. Pak","U.S. Attorney for the N.D. of Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0
"6","Bart Davis","U.S. Attorney for the District of Idaho","prosecutor","9/21/2017","1955-03-07",65,"Rapid City","male",0,"Republican","Brigham Young University",NA,NA,"University of Idaho",0.212,115,0,0,0,0,0,0,0,0,1,1,0,1,0,1,NA,NA,NA,NA,NA,0,0
"7","Beth Ann Williams","Assistant Attorney General for the Office of Legal Policy","justicedept",NA,NA,NA,NA,NA,NA,NA,"Harvard University",NA,NA,"Harvard University",-0.816,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,NA,NA,NA,NA,0,0
"8","Billy J. Williams","U.S. Attorney for the District of Oregon","prosecutor","2/23/2018","1956-01-01",64,"Toppenish","male",0,"Republican","Washington State University",NA,NA,"Willamette University",-0.571,136,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"9","Bobby Christine","U.S. Attorney for the S.D. of Georgia","prosecutor","11/22/2017","1969-01-01",51,"","male",0,NA,"University of Georgia",NA,NA,"Cumberland University",0.382,148,0,0,0,0,0,0,0,0,1,1,0,1,0,1,NA,NA,NA,NA,NA,0,1
"10","Brandon Fremin","U.S. Attorney for the M.D. of Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"11","Brian Allen Benczkowski","Assistant Attorney General for the Criminal Division","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0
"12","Brian Kuester","U.S. Attorney for the E.D. of Oklahoma","prosecutor","10/25/2017",NA,NA,"","male",0,"Republican","University of Central Missouri",NA,NA,"University of Tulsa",-0.109,102,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,0,1
"13","Brian T. Moran","U.S. Attorney for the W.D. of Washington","prosecutor","1/17/2019",NA,NA,"","male",0,NA,"Middlebury College",NA,NA,"Seattle University",-0.938,102,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1
"14","Bryan Schroder","U.S. Attorney for the District of Alaska","prosecutor","11/21/2017","1959-02-03",61,"","male",0,NA,"United States Coast Guard Academy",NA,NA,"University of Washington",-0.806,29,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"15","Charles Peeler","U.S. Attorney for the M.D. of Georgia","prosecutor","11/22/2017","1973-01-01",47,"Augusta","male",0,NA,"University of Georgia",NA,NA,"University of Georgia",-0.185,29,0,0,0,0,0,0,0,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,0,1
"16","Christina E. Nolan","U.S. Attorney for the District of Vermont","prosecutor","11/27/2017","1979-01-01",41,"Burlington","female",0,"None","University of Vermont",NA,NA,"Boston College",-0.82,24,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"17","Clay Fowlkes","U.S. Attorney for the W.D. of Arkansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,1,0
