"","person","position_current","source","date_of_appointment","date_of_birth","age","birthplace","sex","bachelors","masters","doctorate","law","law_conservative_score","law_rank","barr_appointment","political_affiliation","employer_past","firm_conservative_score","start_date","end_date","american_center_for_law_and_justice","christian_legal_society_bar_association","federalist_society","heritage_foundation","national_rifle_association_tie","republican_national_lawyers_association_tie"
"1","Donald Q. Cochran","U.S. Attorney for the M.D. of Tennessee","prosecutor","2017-09-21",NA,NA,"","male","Vanderbilt University",NA,NA,"Vanderbilt University",-0.556,15,0,NA,"(US) Army",NA,NA,NA,NA,NA,1,NA,NA,NA
"2","Bryan Schroder","U.S. Attorney for the District of Alaska","prosecutor","2017-11-21","1959-02-03",61,"","male","United States Coast Guard Academy",NA,NA,"University of Washington",-0.806,29,0,NA,"(US) Coast Guard",NA,1991,2005,NA,NA,NA,NA,NA,NA
"3","Peter G. Strasser","U.S. Attorney for the E.D. of Louisiana","prosecutor","2018-09-10",NA,NA,"","male","University of Virginia",NA,NA,"Washington and Lee University",-0.401,29,0,NA,"(US) Department of the Navy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Michael Sherwin",NA,"prosecutor",NA,NA,NA,NA,NA,"Ohio State University",NA,NA,"University of Notre Dame",-0.196,21,NA,NA,"(US) Department of the Navy",NA,1999,2004,NA,NA,NA,NA,NA,NA
"5","Russell Coleman","U.S. Attorney for the W.D. of Kentucky","prosecutor","2017-09-22",NA,NA,"","male","University of Kentucky",NA,NA,"University of Kentucky",0.039,92,0,"Republican","(US) Federal Bureau of Investigation",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Jay Town","U.S. Attorney for the N.D. of Alabama","prosecutor","2017-08-11","1973-08-26",47,"","male","University of Notre Dame",NA,NA,"Seton Hall University School of Law",-0.467,64,0,"Republican","(US) Marine Corps",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Timothy A. Garrison","U.S. Attorney for the W.D. of Missouri","prosecutor","2018-01-05","1976-01-01",44,"Urbana","male","Drury University","University of Missouri",NA,"University of Missouri",-0.197,77,0,"Republican","(US) Marine Corps",NA,NA,NA,NA,NA,1,NA,NA,1
"8","Brandon Fremin",NA,"prosecutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(US) Marine Corps",NA,1994,2002,NA,NA,NA,NA,NA,NA
"9","John Bash","U.S. Attorney for the W.D. of Texas","prosecutor","2017-12-11",NA,NA,"","male","Harvard University",NA,NA,"Harvard University",-0.816,1,0,NA,"(US) Office of President",NA,2017,2017,NA,NA,1,NA,NA,NA
"10","Brandon Fremin",NA,"prosecutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19th Judicial District LA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","J. Cody Hiland","U.S. Attorney for the E.D. of Arkansas","prosecutor","2017-10-10","1975-01-01",45,"","male","University of Central Arkansas",NA,NA,"University of Arkansas, Little Rock",-0.29,102,0,NA,"20th Judicial District of Arkansas",NA,2010,2017,NA,NA,NA,NA,NA,NA
"12","J. Cody Hiland","U.S. Attorney for the E.D. of Arkansas","prosecutor","2017-10-10","1975-01-01",45,"","male","University of Central Arkansas",NA,NA,"University of Arkansas, Little Rock",-0.29,148,0,NA,"20th Judicial District of Arkansas",NA,2010,2017,NA,NA,NA,NA,NA,NA
"13","D. Michael Dunavant","U.S. Attorney for the W.D. of Tennessee","prosecutor","2017-09-21","1970-01-01",50,"Millington","male","University of Tennessee",NA,NA,"University of Mississippi",0.406,92,0,"None","25th Judicial District TN",NA,2006,2017,NA,NA,NA,NA,NA,NA
"14","Brian Kuester","U.S. Attorney for the E.D. of Oklahoma","prosecutor","2017-10-25",NA,NA,"","male","University of Central Missouri",NA,NA,"University of Tulsa",-0.109,102,0,"Republican","Allstate Insurance Co",NA,2008,2010,NA,NA,NA,NA,NA,NA
"15","Craig Carpenito","U.S. Attorney for the District of New Jersey","prosecutor",NA,"1973-08-01",47,"","male","Rider University",NA,NA,"Seton Hall University School of Law",-0.467,64,NA,NA,"Alston & Bird LLP",-0.149,2008,2018,NA,NA,NA,NA,NA,NA
"16","Kenji M. Price","U.S. Attorney for the District of Hawaii","prosecutor","2018-01-05","1980-01-01",40,"Port Jervis","male","Gonzaga University",NA,NA,"University of Pennsylvania",-0.865,6,0,"Republican","Alston Hunt Floyd & Ing",NA,NA,2018,NA,NA,1,NA,NA,NA
"17","Michael G. Bailey","U.S. Attorney for the District of Arizona","prosecutor",NA,NA,NA,"","male","Westmont College",NA,NA,"University of Arizona",-0.776,29,1,"Republican","Arizona Office of the Attorney General",NA,2015,2019,NA,NA,NA,NA,NA,NA
"18","J. Cody Hiland","U.S. Attorney for the E.D. of Arkansas","prosecutor","2017-10-10","1975-01-01",45,"","male","University of Central Arkansas",NA,NA,"University of Arkansas, Little Rock",-0.29,102,0,NA,"Arkansas Public Service Commission",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","J. Cody Hiland","U.S. Attorney for the E.D. of Arkansas","prosecutor","2017-10-10","1975-01-01",45,"","male","University of Central Arkansas",NA,NA,"University of Arkansas, Little Rock",-0.29,148,0,NA,"Arkansas Public Service Commission",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","J. Cody Hiland","U.S. Attorney for the E.D. of Arkansas","prosecutor","2017-10-10","1975-01-01",45,"","male","University of Central Arkansas",NA,NA,"University of Arkansas, Little Rock",-0.29,102,0,NA,"Arkansas Transitional Employment Board",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","J. Cody Hiland","U.S. Attorney for the E.D. of Arkansas","prosecutor","2017-10-10","1975-01-01",45,"","male","University of Central Arkansas",NA,NA,"University of Arkansas, Little Rock",-0.29,148,0,NA,"Arkansas Transitional Employment Board",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Duane Kees","U.S. Attorney for the W.D. of Arkansas","prosecutor","2018-01-05","1975-01-01",45,"Little Rock","male","University of Arkansas",NA,NA,"University of Arkansas, Little Rock",-0.29,102,0,"Republican","ASA Hutchinson Law Group PLC",NA,NA,NA,1,NA,1,NA,1,NA
"23","Duane Kees","U.S. Attorney for the W.D. of Arkansas","prosecutor","2018-01-05","1975-01-01",45,"Little Rock","male","University of Arkansas",NA,NA,"University of Arkansas, Little Rock",-0.29,148,0,"Republican","ASA Hutchinson Law Group PLC",NA,NA,NA,1,NA,1,NA,1,NA
"24","Duane Kees","U.S. Attorney for the W.D. of Arkansas","prosecutor","2018-01-05","1975-01-01",45,"Little Rock","male","University of Arkansas",NA,NA,"University of Arkansas, Little Rock",-0.29,102,0,"Republican","Bell Law Firm",NA,2000,2001,1,NA,1,NA,1,NA
"25","Duane Kees","U.S. Attorney for the W.D. of Arkansas","prosecutor","2018-01-05","1975-01-01",45,"Little Rock","male","University of Arkansas",NA,NA,"University of Arkansas, Little Rock",-0.29,148,0,"Republican","Bell Law Firm",NA,2000,2001,1,NA,1,NA,1,NA
"26","Donald Q. Cochran","U.S. Attorney for the M.D. of Tennessee","prosecutor","2017-09-21",NA,NA,"","male","Vanderbilt University",NA,NA,"Vanderbilt University",-0.556,15,0,NA,"Belmont Law School",NA,2012,2017,NA,NA,1,NA,NA,NA
"27","Joseph P. Kelly","U.S. Attorney for the District of Nebraska","prosecutor","2018-02-23","1956-01-01",64,"Lexington","male","University of Nebraska",NA,NA,"University of Nebraska",-0.005,88,0,"Republican","Berniger, Berg and Diver PC",NA,1987,1990,NA,NA,NA,NA,NA,NA
"28","Jason R. Dunn","U.S. Attorney for the District of Colorado","prosecutor","2018-10-26",NA,NA,"","male","University of Colorado","University of Colorado",NA,"University of Colorado, Boulder",-0.829,36,0,NA,"Brownstein Hyatt Farber Schreck LLP",-0.44,NA,NA,NA,NA,NA,NA,NA,NA
"29","Richard Donoghue",NA,"prosecutor",NA,NA,NA,NA,NA,"Hofstra University",NA,NA,"St. John’s University, New York, NY",-0.483,58,NA,NA,"CA Technologies",NA,2011,2018,NA,NA,NA,NA,NA,NA
"30","Kenji M. Price","U.S. Attorney for the District of Hawaii","prosecutor","2018-01-05","1980-01-01",40,"Port Jervis","male","Gonzaga University",NA,NA,"University of Pennsylvania",-0.865,6,0,"Republican","Carlsmith Ball LLP",NA,NA,NA,NA,NA,1,NA,NA,NA
"31","D. Michael Dunavant","U.S. Attorney for the W.D. of Tennessee","prosecutor","2017-09-21","1970-01-01",50,"Millington","male","University of Tennessee",NA,NA,"University of Mississippi",0.406,92,0,"None","Carney, Wilder & Dunavant",NA,1995,2006,NA,NA,NA,NA,NA,NA
"32","Peter G. Strasser","U.S. Attorney for the E.D. of Louisiana","prosecutor","2018-09-10",NA,NA,"","male","University of Virginia",NA,NA,"Washington and Lee University",-0.401,29,0,NA,"Chaffe McCall LLP",NA,NA,2018,NA,NA,NA,NA,NA,NA
"33","Bobby Christine","U.S. Attorney for the S.D. of Georgia","prosecutor","2017-11-22","1969-01-01",51,"","male","University of Georgia",NA,NA,"Cumberland University",0.382,148,0,NA,"Christine and Evans LLC",NA,NA,NA,NA,NA,1,NA,NA,NA
"34","Bobby Christine","U.S. Attorney for the S.D. of Georgia","prosecutor","2017-11-22","1969-01-01",51,"","male","University of Georgia",NA,NA,"Cumberland University",0.382,148,0,NA,"City of Augusta GA",NA,NA,NA,NA,NA,1,NA,NA,NA
"35","Scott W. Murray","U.S. Attorney for the District of New Hampshire","prosecutor","2018-03-05","1954-01-01",66,"Rochester","male","University of New Hampshire","University of New Hampshire",NA,"University of New Hampshire",-0.14,88,0,"Republican","City of Concord NH",NA,1983,2011,NA,NA,NA,NA,NA,NA
"36","Drew Wrigley","U.S. Attorney for the District of North Dakota","prosecutor","2019-04-17","1965-10-10",55,"Bismarck","male","University of North Dakota",NA,NA,"American University",-0.834,64,1,"Republican","City of Philadelphia",NA,NA,NA,NA,NA,NA,NA,1,NA
"37","John W. Huber","U.S. Attorney for the District of Utah","prosecutor","2015-06-01","1967-01-01",53,"Salt Lake City","male","University of Utah",NA,NA,"University of Utah",-0.487,58,0,NA,"City of West Valley City UT",NA,1999,2004,NA,NA,NA,NA,NA,NA
"38","John W. Huber","U.S. Attorney for the District of Utah","prosecutor","2015-06-01","1967-01-01",53,"Salt Lake City","male","University of Utah",NA,NA,"University of Utah",-0.487,58,0,NA,"City of West Valley City UT",NA,1996,1999,NA,NA,NA,NA,NA,NA
"39","Jason R. Dunn","U.S. Attorney for the District of Colorado","prosecutor","2018-10-26",NA,NA,"","male","University of Colorado","University of Colorado",NA,"University of Colorado, Boulder",-0.829,36,0,NA,"Colorado Office of the Attorney General",NA,NA,NA,NA,NA,NA,NA,NA,NA
