school,conservatism,rank
Albany Law School,-0.27,115
American University,-0.834,64
Appalachian School of Law,0.09,191
Arizona State University,-0.194,29
Ave Maria University,0.555,173
Barry University,-0.157,173
Baylor University,0.04,52
Benjamin N. Cardozo School of Law,-0.839,43
Birmingham Law School,0.023,
Boston College,-0.82,24
Boston University,-0.93,19
Brigham Young University,0.828,24
Brooklyn Law School,-0.78,77
California Western School of Law,-0.445,157
Campbell University,-0.079,136
Capital University,-0.041,166
Case Western Reserve University,-0.521,58
Catholic University,-0.624,115
Chapman University,-0.159,77
Charlotte School of Law,-1.333,197
Chicago Kent College of Law,-0.712,77
City University of New York,-0.758,102
Cleveland-Marshall College of Law,-0.327,115
Columbia University,-0.882,3
Cornell University,-0.785,15
Creighton University,-0.613,115
Cumberland University,0.382,148
DePaul University,-0.824,115
Dickinson Law,-0.337,52
Drake University,-0.259,115
Drexel University,-0.402,88
Duke University,-0.605,8
Duquesne University,-0.144,136
Emory University,-0.556,21
Florida A & M University,-0.505,189
Florida Coastal School of Law,-0.086,157
Florida State University,-0.207,52
Fordham University,-0.773,24
Franklin Pierce Law Center,-0.417,
George Mason University,-0.253,29
George Washington University,-0.841,21
Georgetown University,-0.821,15
Georgia State University,-0.151,64
Golden Gate University,-0.941,157
Gonzaga University,-0.404,102
Hamline University,-0.38,148
Harvard University,-0.816,1
Hofstra University,-0.598,115
Howard University,-1.17,148
Indiana University Bloomington,-0.713,36
Indiana University – Purdue University Indianapolis,-0.025,115
"John Marshall Law School, Atlanta, GA",-0.131,157
"John Marshall Law School, Chicago, IL",-0.626,196
Lewis & Clark Law School,-1.048,64
Louisiana State University,0.278,102
"Loyola Law School, Los Angeles",-0.4,52
Loyola University,-0.551,77
Marquette University,-0.502,102
University of Massachusetts,-0.717,173
McGeorge School of Law,-0.713,115
McGill University,-0.583,
Mercer University,0.137,136
Michigan State University,-0.178,102
Mississippi College School of Law,0.192,173
Nashville School of Law,0.116,
National University,-0.299,
University of New England,-0.558,157
New York Law School,-0.658,115
North Carolina Central University,-0.503,189
Northeastern University,-1.072,43
Northern Illinois University,-1.261,166
Northwestern University,-0.839,8
University of Notre Dame,-0.196,21
Nova Southeastern University,-0.224,157
New York University,-0.95,6
Ohio Northern University,0.059,148
Ohio State University,-0.222,43
Oklahoma City University,0.131,166
Pace University,-0.41,148
Pennsylvania State University,-0.154,52
Pepperdine University,-0.308,52
Quinnipiac University,-0.41,136
Regent University,0.264,102
Roger Williams University,-0.386,173
Rutgers University,-0.661,136
