"","item_label","bachelors","masters","law","doctorate","law_rank","law_conservative_score"
"1","Adam W. Cohen","Clark University",NA,"Benjamin N. Cardozo School of Law",NA,43,78
"2","Alan Hanson","Vanderbilt University",NA,"Georgetown University Law Center",NA,15,38
"3","Amelia Medina",NA,NA,NA,NA,NA,NA
"4","Andrew Finch","University of California Berkeley","University of California Los Angeles","University of Chicago Law School",NA,4,108
"5","Andrew Hudson","Yale University",NA,"Yale Law School",NA,1,33
"6","Andrew Peterson",NA,NA,NA,NA,NA,NA
"7","Annie Hsiao","University of California Los Angeles","Harvard University",NA,NA,NA,NA
"8","Aram A. Gavoor","University of Michigan","Georgetown University","George Washington University School of Law",NA,21,112
"9","Bernard Nigro","Georgetown University",NA,"George Washington University School of Law",NA,21,112
"10","Beth Ann Williams","Harvard University",NA,"Harvard Law School",NA,1,25
"11","Bethany Pickett","The King's College",NA,"Northwestern University School of Law",NA,8,56
"12","Bobak Talebian",NA,NA,"University of Tennessee College of Law",NA,64,111
"13","Brandon Middleton","St. Louis University",NA,"The Ohio State University Moritz College of Law",NA,43,115
"14","Brett Shumate","Furman University",NA,"Wake Forest University",NA,36,51
"15","Brett Shumate","Furman University",NA,"Wake Forest University",NA,NA,NA
"16","Brett Talley","University of Alabama",NA,"Harvard Law School",NA,1,25
"17","Brian Benczkowski","University of Virginia",NA,"Washington University School of Law",NA,12,52
"18","Brian Morrissey",NA,NA,NA,NA,NA,NA
"19","Brian Murray","University of Notre Dame",NA,"Notre Dame Law School",NA,21,163
"20","Brian Pandya","Pennsylvania State University",NA,"University of Michigan Law School",NA,8,36
"21","Brittian Featherston",NA,NA,"Baylor University School of Law",NA,52,181
"22","Caren Harp","University of Arkansas","University of Arkansas","University of Arkansas School of Law",NA,102,137
"23","Carlton J. Davis",NA,NA,NA,NA,NA,NA
"24","Chad Mizelle","University of Florida",NA,"Cornell Law School",NA,15,41
"25","Chad Readler","University of Michigan",NA,"University of Michigan Law School",NA,8,36
"26","Christopher A. Wray","Yale University",NA,"Yale Law School",NA,1,33
"27","Christopher J. Constantini",NA,NA,NA,NA,NA,NA
"28","Christopher K. Grieco","Dartmouth College",NA,"Stanford University Law School",NA,4,37
"29","Claire Murray","Harvard University","University of Cambridge","Yale Law School",NA,1,33
"30","Clifford J. White","George Washington University",NA,"George Washington University School of Law",NA,21,112
"31","Corinne Snow","Vanderbilt University",NA,"Harvard Law School",NA,1,25
"32","Curtis E. Gannon","Harvard University","University of London","University of Chicago Law School",NA,4,108
"33","Daniel Loveland","University of Maryland College Park",NA,"Harvard Law School",NA,1,25
"34","Danielle Cutrona",NA,NA,NA,NA,NA,NA
"35","Danielle Douglas","University of Alabama",NA,"University of Alabama School of Law",NA,24,172
"36","Darlene Hutchinson Biehl","Troy University",NA,NA,NA,NA,NA
"37","David B. Muhlhausen","Frostburg State University",NA,NA,"University of Maryland, Baltimore County",NA,NA
"38","David Burns","Boston College",NA,"Columbia University School of Law",NA,3,48
"39","David Lasseter","University of Georgia",NA,"University of Alabama School of Law",NA,24,172
"40","David M. Morrell","Hillsdale College",NA,"Yale Law School",NA,1,33
"41","David Palmer","Columbia University",NA,"Case Western Reserve University School of Law",NA,58,123
"42","David Rybicki","Yale University","University of Cambridge","Stanford University Law School",NA,4,37
"43","Deline R. Reardon","Colorado State University","Hawaii Pacific University",NA,NA,NA,NA
"44","Donald Kempf","Villanova University","The University of Chicago - Booth School of Business","Harvard Law School",NA,1,25
"45","Donald R. Livingston",NA,NA,"University of Georgia School of Law",NA,29,150
"46","Dorothy Williams","Grove City College",NA,"University of Alabama School of Law",NA,24,172
"47","Elizabeth Escolona",NA,NA,NA,NA,NA,NA
"48","Eric Dreiband","Princeton University","Harvard University","Northwestern University School of Law",NA,8,56
"49","Eric Grant","University of California Berkeley",NA,"University of California Berkeley",NA,NA,NA
"50","Eric Grant","University of California Berkeley",NA,"University of California Berkeley",NA,12,18
"51","Eric MacArthur","Brigham Young University",NA,"University of Chicago Law School",NA,4,108
"52","Ethan B. Kanter",NA,NA,NA,NA,NA,NA
"53","Ethan Davis","Amherst College",NA,"Yale Law School",NA,1,33
