"","agency_name","position_title","attorney","employer","start_date","end_date","title","firm_conservative_score"
"1","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Brownstein Hyatt Farber Schreck LLP",2017,NA,"Partner in Law Firm",NA
"2","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Qualcomm Inc.",2017,NA,"Legal Services",NA
"3","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Ares Management LP",2017,NA,"Legal Services",NA
"4","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Baxter Healthcare",2017,NA,"Legal Services",NA
"5","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Anthem, Inc.",2017,NA,"Legal Services",NA
"6","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Papersource Manufacturing & Converting",2017,NA,"Legal Services",NA
"7","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Complete Control Management",2017,NA,"Legal Services",NA
"8","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Ultimate Fighting Championship",2017,NA,"Legal Services",NA
"9","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Ardent Health Services",2017,NA,"Legal Services",NA
"10","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Medical Device Manufacturers Association",2017,NA,"Legal Services",NA
"11","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Brentwood School",2017,NA,"Legal Services",NA
"12","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Flexjet, LLC",2017,NA,"Legal Services",NA
"13","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Mentor Network",2017,NA,"Legal Services",NA
"14","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Jacob Khobian",2017,NA,"Legal Services",NA
"15","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Caesars Interactive Entertainment, Inc.",2017,NA,"Legal Services",NA
"16","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Brownstein Hyatt Farber Schreck LLP",2017,NA,"Partner/Shareh older",NA
"17","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Pepperdine University School of Law",2017,NA,"Adjunct Professsor of Law",NA
"18","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Trump for America, Inc.",2017,NA,"Attorney",NA
"19","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","World Poker Tour Foundation, Inc.",2017,NA,"Board Member",NA
"20","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Preconcile, LLC",2017,NA,"Co-Founder",NA
"21","Justice","Attorney General","Jefferson B. Sessions","Samford University",NA,NA,"Member of Board of Overseers",NA
"22","Justice","Principal Deputy Solicitor General","Noel Francisco","Jones Day LLP",2017,NA,"legal services to firm clients, management of Government Regulations Group",NA
"23","Justice","Principal Deputy Solicitor General","Noel Francisco","Boeing Company",2017,NA,"legal services",NA
"24","Justice","Principal Deputy Solicitor General","Noel Francisco","Christian Educators Association",2017,NA,"legal services",NA
"25","Justice","Principal Deputy Solicitor General","Noel Francisco","Community Financial Services Association of America",2017,NA,"legal services",NA
"26","Justice","Principal Deputy Solicitor General","Noel Francisco","HCA, Inc",2017,NA,"legal services",NA
"27","Justice","Principal Deputy Solicitor General","Noel Francisco","International Business Machines Corporation",2017,NA,"legal services",NA
"28","Justice","Principal Deputy Solicitor General","Noel Francisco","The Internet Corporation for Assigned Names and Numbers",2017,NA,"legal services",NA
"29","Justice","Principal Deputy Solicitor General","Noel Francisco","Loma Linda University Adventist Health Sciences",2017,NA,"legal services",NA
"30","Justice","Principal Deputy Solicitor General","Noel Francisco","Reynolds American, Inc.",2017,NA,"legal services",NA
"31","Justice","Principal Deputy Solicitor General","Noel Francisco","R.J. Reynolds Tobacco Company",2017,NA,"legal services",NA
"32","Justice","Principal Deputy Solicitor General","Noel Francisco","The Museum of the Bible",2017,NA,"legal services",NA
"33","Justice","Principal Deputy Solicitor General","Noel Francisco","UnityPoint Health",2017,NA,"legal services",NA
"34","Justice","Principal Deputy Solicitor General","Noel Francisco","University of North Carolina",2017,NA,"legal services",NA
"35","Justice","Principal Deputy Solicitor General","Noel Francisco","Herbert Vederman",2017,NA,"legal services",NA
"36","Justice","Principal Deputy Solicitor General","Noel Francisco","Expedia",2017,NA,"legal services",NA
"37","Justice","Principal Deputy Solicitor General","Noel Francisco","Robert F. McDonnell",2017,NA,"legal services",NA
"38","Justice","Principal Deputy Solicitor General","Noel Francisco","Jones Day LLP",2017,NA,"Partner",NA
"39","Justice","Principal Deputy Solicitor General","Noel Francisco","Historical Society of the District of Columbia",2017,NA,"Member of the Board of Directors",NA
"40","Justice","Assistant Attorney General for the Environment and Natural Resources Division","Jeffrey Bossert Clark","Kirkland & Ellis",NA,NA,"I am a law firm partner at Kirkland & Ellis LLP.",NA
"41","Justice","Assistant Attorney General for the Environment and Natural Resources Division","Jeffrey Bossert Clark","Kirkland & Ellis",NA,NA,"legal services",NA
"42","Justice","Assistant Attorney General for the Environment and Natural Resources Division","Jeffrey Bossert Clark","Kirkland & Ellis",NA,NA,"Partner",NA
