"","person","employer","firm_conservative_score","start_date","end_date","district","date_of_appointment","barr_appointment","sex","date_of_birth","birthplace","age","bachelors","masters","law","law_rank","law_conservative_score","political_affiliation","federalist_society_tie","heritage_foundation_tie","national_rifle_association_tie","american_center_for_law_and_justice_tie","republican_national_lawyers_association_tie","christian_legal_society_bar_association_tie"
"1","Donald Q. Cochran","(US) Army",NA,NA,NA,"U.S. Attorney for the M.D. of Tennessee","2017-09-21",0,"male",NA,"",NA,"Vanderbilt University",NA,"Vanderbilt University Law School",15,140,NA,1,NA,NA,NA,NA,NA
"2","Bryan Schroder","(US) Coast Guard",NA,1991,2005,"U.S. Attorney for the District of Alaska","2017-11-21",0,"male","1959-02-03","",61,"United States Coast Guard Academy",NA,"University of Washington School of Law",29,59,NA,NA,NA,NA,NA,NA,NA
"3","Peter G. Strasser","(US) Department of the Navy",NA,NA,NA,"U.S. Attorney for the E.D. of Louisiana","2018-09-10",0,"male",NA,"",NA,"University of Virginia",NA,"Washington and Lee University School of Law",29,12,NA,NA,NA,NA,NA,NA,NA
"4","Michael Sherwin","(US) Department of the Navy",NA,1999,2004,NA,NA,NA,NA,NA,NA,NA,"Ohio State University",NA,"Notre Dame Law School",21,163,NA,NA,NA,NA,NA,NA,NA
"5","Russell Coleman","(US) Federal Bureau of Investigation",NA,NA,NA,"U.S. Attorney for the W.D. of Kentucky","2017-09-22",0,"male",NA,"",NA,"University of Kentucky",NA,"University of Kentucky College of Law",92,167,"Republican",NA,NA,NA,NA,NA,NA
"6","Jay Town","(US) Marine Corps",NA,NA,NA,"U.S. Attorney for the N.D. of Alabama","2017-08-11",0,"male","1973-08-26","",47,"University of Notre Dame",NA,"Seton Hall University",64,91,"Republican",NA,NA,NA,NA,NA,NA
"7","Timothy A. Garrison","(US) Marine Corps",NA,NA,NA,"U.S. Attorney for the W.D. of Missouri","2018-01-05",0,"male","1976-01-01","Urbana",44,"Drury University","University of Missouri","University of Missouri School of Law",77,98,"Republican",1,NA,NA,NA,1,NA
"8","Brandon Fremin","(US) Marine Corps",NA,1994,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","John Bash","(US) Office of President",NA,2017,2017,"U.S. Attorney for the W.D. of Texas","2017-12-11",0,"male",NA,"",NA,"Harvard University",NA,"Harvard Law School",1,25,NA,1,NA,NA,NA,NA,NA
"10","Brandon Fremin","19th Judicial District LA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","J. Cody Hiland","20th Judicial District of Arkansas",NA,2010,2017,"U.S. Attorney for the E.D. of Arkansas","2017-10-10",0,"male","1975-01-01","",45,"University of Central Arkansas",NA,"William H. Bowen School of Law",148,128,NA,NA,NA,NA,NA,NA,NA
