item,itemLabel,class,classLabel,sex_or_gender,sex_or_genderLabel,date_of_birth,place_of_birth,place_of_birthLabel,occupation,occupationLabel,educated_at,educated_atLabel
http://www.wikidata.org/entity/Q358443,Jeff Sessions,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1946-12-24T00:00:00Z,http://www.wikidata.org/entity/Q79941,Selma,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q9842,primary school
http://www.wikidata.org/entity/Q358443,Jeff Sessions,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1946-12-24T00:00:00Z,http://www.wikidata.org/entity/Q28185131,"Hybart, Alabama",http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q9842,primary school
http://www.wikidata.org/entity/Q358443,Jeff Sessions,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1946-12-24T00:00:00Z,http://www.wikidata.org/entity/Q79941,Selma,http://www.wikidata.org/entity/Q82955,politician,http://www.wikidata.org/entity/Q9842,primary school
http://www.wikidata.org/entity/Q358443,Jeff Sessions,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1946-12-24T00:00:00Z,http://www.wikidata.org/entity/Q28185131,"Hybart, Alabama",http://www.wikidata.org/entity/Q82955,politician,http://www.wikidata.org/entity/Q9842,primary school
http://www.wikidata.org/entity/Q358443,Jeff Sessions,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1946-12-24T00:00:00Z,http://www.wikidata.org/entity/Q79941,Selma,http://www.wikidata.org/entity/Q1238570,political scientist,http://www.wikidata.org/entity/Q9842,primary school
http://www.wikidata.org/entity/Q358443,Jeff Sessions,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1946-12-24T00:00:00Z,http://www.wikidata.org/entity/Q28185131,"Hybart, Alabama",http://www.wikidata.org/entity/Q1238570,political scientist,http://www.wikidata.org/entity/Q9842,primary school
http://www.wikidata.org/entity/Q358443,Jeff Sessions,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1946-12-24T00:00:00Z,http://www.wikidata.org/entity/Q79941,Selma,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q492318,University of Alabama
http://www.wikidata.org/entity/Q358443,Jeff Sessions,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1946-12-24T00:00:00Z,http://www.wikidata.org/entity/Q28185131,"Hybart, Alabama",http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q492318,University of Alabama
http://www.wikidata.org/entity/Q358443,Jeff Sessions,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1946-12-24T00:00:00Z,http://www.wikidata.org/entity/Q79941,Selma,http://www.wikidata.org/entity/Q82955,politician,http://www.wikidata.org/entity/Q492318,University of Alabama
http://www.wikidata.org/entity/Q358443,Jeff Sessions,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1946-12-24T00:00:00Z,http://www.wikidata.org/entity/Q28185131,"Hybart, Alabama",http://www.wikidata.org/entity/Q82955,politician,http://www.wikidata.org/entity/Q492318,University of Alabama
http://www.wikidata.org/entity/Q358443,Jeff Sessions,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1946-12-24T00:00:00Z,http://www.wikidata.org/entity/Q79941,Selma,http://www.wikidata.org/entity/Q1238570,political scientist,http://www.wikidata.org/entity/Q492318,University of Alabama
http://www.wikidata.org/entity/Q358443,Jeff Sessions,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1946-12-24T00:00:00Z,http://www.wikidata.org/entity/Q28185131,"Hybart, Alabama",http://www.wikidata.org/entity/Q1238570,political scientist,http://www.wikidata.org/entity/Q492318,University of Alabama
http://www.wikidata.org/entity/Q358443,Jeff Sessions,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1946-12-24T00:00:00Z,http://www.wikidata.org/entity/Q79941,Selma,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q5945112,Huntingdon College
http://www.wikidata.org/entity/Q358443,Jeff Sessions,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1946-12-24T00:00:00Z,http://www.wikidata.org/entity/Q28185131,"Hybart, Alabama",http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q5945112,Huntingdon College
http://www.wikidata.org/entity/Q358443,Jeff Sessions,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1946-12-24T00:00:00Z,http://www.wikidata.org/entity/Q79941,Selma,http://www.wikidata.org/entity/Q82955,politician,http://www.wikidata.org/entity/Q5945112,Huntingdon College
http://www.wikidata.org/entity/Q358443,Jeff Sessions,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1946-12-24T00:00:00Z,http://www.wikidata.org/entity/Q28185131,"Hybart, Alabama",http://www.wikidata.org/entity/Q82955,politician,http://www.wikidata.org/entity/Q5945112,Huntingdon College
http://www.wikidata.org/entity/Q358443,Jeff Sessions,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1946-12-24T00:00:00Z,http://www.wikidata.org/entity/Q79941,Selma,http://www.wikidata.org/entity/Q1238570,political scientist,http://www.wikidata.org/entity/Q5945112,Huntingdon College
http://www.wikidata.org/entity/Q358443,Jeff Sessions,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1946-12-24T00:00:00Z,http://www.wikidata.org/entity/Q28185131,"Hybart, Alabama",http://www.wikidata.org/entity/Q1238570,political scientist,http://www.wikidata.org/entity/Q5945112,Huntingdon College
http://www.wikidata.org/entity/Q358443,Jeff Sessions,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1946-12-24T00:00:00Z,http://www.wikidata.org/entity/Q79941,Selma,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q7895034,University of Alabama School of Law
http://www.wikidata.org/entity/Q358443,Jeff Sessions,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1946-12-24T00:00:00Z,http://www.wikidata.org/entity/Q28185131,"Hybart, Alabama",http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q7895034,University of Alabama School of Law
http://www.wikidata.org/entity/Q358443,Jeff Sessions,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1946-12-24T00:00:00Z,http://www.wikidata.org/entity/Q79941,Selma,http://www.wikidata.org/entity/Q82955,politician,http://www.wikidata.org/entity/Q7895034,University of Alabama School of Law
http://www.wikidata.org/entity/Q358443,Jeff Sessions,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1946-12-24T00:00:00Z,http://www.wikidata.org/entity/Q28185131,"Hybart, Alabama",http://www.wikidata.org/entity/Q82955,politician,http://www.wikidata.org/entity/Q7895034,University of Alabama School of Law
http://www.wikidata.org/entity/Q358443,Jeff Sessions,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1946-12-24T00:00:00Z,http://www.wikidata.org/entity/Q79941,Selma,http://www.wikidata.org/entity/Q1238570,political scientist,http://www.wikidata.org/entity/Q7895034,University of Alabama School of Law
http://www.wikidata.org/entity/Q358443,Jeff Sessions,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1946-12-24T00:00:00Z,http://www.wikidata.org/entity/Q28185131,"Hybart, Alabama",http://www.wikidata.org/entity/Q1238570,political scientist,http://www.wikidata.org/entity/Q7895034,University of Alabama School of Law
http://www.wikidata.org/entity/Q358443,Jeff Sessions,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1946-12-24T00:00:00Z,http://www.wikidata.org/entity/Q79941,Selma,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q8000313,Wilcox Central High School
http://www.wikidata.org/entity/Q358443,Jeff Sessions,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1946-12-24T00:00:00Z,http://www.wikidata.org/entity/Q28185131,"Hybart, Alabama",http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q8000313,Wilcox Central High School
http://www.wikidata.org/entity/Q358443,Jeff Sessions,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1946-12-24T00:00:00Z,http://www.wikidata.org/entity/Q79941,Selma,http://www.wikidata.org/entity/Q82955,politician,http://www.wikidata.org/entity/Q8000313,Wilcox Central High School
http://www.wikidata.org/entity/Q358443,Jeff Sessions,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1946-12-24T00:00:00Z,http://www.wikidata.org/entity/Q28185131,"Hybart, Alabama",http://www.wikidata.org/entity/Q82955,politician,http://www.wikidata.org/entity/Q8000313,Wilcox Central High School
http://www.wikidata.org/entity/Q358443,Jeff Sessions,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1946-12-24T00:00:00Z,http://www.wikidata.org/entity/Q79941,Selma,http://www.wikidata.org/entity/Q1238570,political scientist,http://www.wikidata.org/entity/Q8000313,Wilcox Central High School
