item,itemLabel,class,classLabel,sex_or_gender,sex_or_genderLabel,date_of_birth,place_of_birth,place_of_birthLabel,occupation,occupationLabel,educated_at,educated_atLabel
http://www.wikidata.org/entity/Q4865059,Bart Davis,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1955-03-07T00:00:00Z,http://www.wikidata.org/entity/Q213325,Rapid City,http://www.wikidata.org/entity/Q82955,politician,http://www.wikidata.org/entity/Q332498,Brigham Young University
http://www.wikidata.org/entity/Q4865059,Bart Davis,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1955-03-07T00:00:00Z,http://www.wikidata.org/entity/Q213325,Rapid City,http://www.wikidata.org/entity/Q82955,politician,http://www.wikidata.org/entity/Q1854488,University of Idaho
http://www.wikidata.org/entity/Q5233835,David Freed,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,,,,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q1785291,Washington and Lee University
http://www.wikidata.org/entity/Q5300793,Doug Overbey,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1954-12-11T00:00:00Z,,,http://www.wikidata.org/entity/Q82955,politician,http://www.wikidata.org/entity/Q3445010,Carson Newman University
http://www.wikidata.org/entity/Q5307301,Drew Wrigley,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1965-10-10T00:00:00Z,http://www.wikidata.org/entity/Q37066,Bismarck,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q968559,University of North Dakota
http://www.wikidata.org/entity/Q5307301,Drew Wrigley,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1965-10-10T00:00:00Z,http://www.wikidata.org/entity/Q37066,Bismarck,http://www.wikidata.org/entity/Q82955,politician,http://www.wikidata.org/entity/Q968559,University of North Dakota
http://www.wikidata.org/entity/Q5607717,Gretchen Shappert,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581072,female,,,,http://www.wikidata.org/entity/Q40348,lawyer,,
http://www.wikidata.org/entity/Q6230524,John Durham,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1950-01-01T00:00:00Z,http://www.wikidata.org/entity/Q100,Boston,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q1191335,Colgate University
http://www.wikidata.org/entity/Q6230524,John Durham,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1950-01-01T00:00:00Z,http://www.wikidata.org/entity/Q100,Boston,http://www.wikidata.org/entity/Q600751,prosecutor,http://www.wikidata.org/entity/Q1191335,Colgate University
http://www.wikidata.org/entity/Q6230524,John Durham,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1950-01-01T00:00:00Z,http://www.wikidata.org/entity/Q100,Boston,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q7895301,University of Connecticut School of Law
http://www.wikidata.org/entity/Q6230524,John Durham,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1950-01-01T00:00:00Z,http://www.wikidata.org/entity/Q100,Boston,http://www.wikidata.org/entity/Q600751,prosecutor,http://www.wikidata.org/entity/Q7895301,University of Connecticut School of Law
http://www.wikidata.org/entity/Q16146008,David Anderson,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1956-05-14T00:00:00Z,,,http://www.wikidata.org/entity/Q82955,politician,,
http://www.wikidata.org/entity/Q28840361,B. J. Pak,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1960-02-10T00:00:00Z,http://www.wikidata.org/entity/Q8684,Seoul,http://www.wikidata.org/entity/Q82955,politician,http://www.wikidata.org/entity/Q2341039,Stetson University
