Position,itemLabel,educated_atLabel,degree,graduated,law rank,law conservative score,undergrad rank,notes
Counsel,Julia A. Schiller,Princeton University,AB,,,,1,
Senior Counselor to the Commissioner (Fmr),Reed Rubinstein,University of Michigan,AB,1872,,,25,
Deputy Assistant Attorney General,Ethan Davis,Amherst College,BA,,,,64,
Counselor (Fmr),Rachael Tucker,Auburn University,BA,,,,97,
Counsel (Fmr),Jorge Aguinaga,Baylor University,BA,2012,,,77,
"Acting Director, National Drug Enforcement Administration",Timothy J. Shea,Boston College,BA,1982,,,36,
Principal Deputy Director,Ian Prior,Boston University,BA,,,,39,
Acting Pardon Attorney,Rosalind Burns,Bradley University,BA,,,,,
Senior Counselor (Fmr),Joseph Edlow,Brandeis University,BA,,,,40,
Principal Deputy Assistant Attorney General | Senior Associate Counsel to the President,Samuel Ramer,Brandeis University,BA,,,,40,
Deputy Associate Attorney General (Fmr),Eric MacArthur,Brigham Young University,BA,2002,,,77,
"Principal Deputy Assistant Attorney, Office of Legal Policy",Mark Champoux,Brigham Young University,BA,2004,,,77,
"Counsel | Chief of Staff, National Security Division",Kelli Andrews,Bucknell University,BA,1992,,,,
"Director, Office of Public Affairs",Kerri Kupec,City University of New York Queens College,BA,2004,,,,
Senior Counsel,Tara Helfman,City University of New York Queens College,BA,1999,,,,
"Director, Organized Crime Drug Enforcement Task Forces",Adam W. Cohen,Clark University,BA,1988,,,84,
Assistant Attorney General for the National Security Division,John Demers,College of the Holy Cross,BA,1993,,,,
"Counsel, Office of Legal Policy",Jordan Von Borkern,Colorado State University,BA,2011,,,166,
"Senior Counselor to the Assistant Attorney General, National Security Division",David Palmer,Columbia University,BA,1982,,,2,
Attorney General,William Barr,Columbia University,BA,1971,,,2,
Senior Counsel (Fmr),Sam G. Nazzaro,Cornell University,BA,,,,15,
"Attorney Advisor, Office of Legislative Affiars",Christopher K. Grieco,Dartmouth College,BA,2003,,,12,
Deputy Associate Attorney General,Jennifer Dickey,Dartmouth College,BA,,,,12,
Counsel,Matthew Sheehan,Dickinson College,BA,2005,,,,
Deputy Assistant Attorney General (Fmr),Thomas Ward,Drew University,BA,1993,,,,
Principal Deputy Associate Attorney General (Fmr),Jessie Panuccio,Duke University,BA,,,,9,
