agency_name,position_title,attorney,title,employer,Firm conservative score,start_date,end_date
Justice,Assistant Attorney General for the Office of Legal Policy,Beth Ann Williams,Trustee,A. S. Trust,,2017,
Justice,Assistant Attorney General for the Civil Rights Division,Eric S. Dreiband,Legal Services (client of Jones Day),Abbott Laboratories,,,
Justice,Assistant Attorney General for the Criminal Division,Brian Allen Benczkowski,Legal services,"AbbVie, Inc.",,,
Justice,Assistant Attorney General for the Office of the Legal Counsel,Steven A. Engel,Legal Services,Abby Modell,,2017,
Justice,Assistant Attorney General for the Civil Rights Division,Eric S. Dreiband,Legal Services (client of Jones Day),"Abercrombie & Fitch Stores, Inc.",,,
Justice,Assistant Attorney General for the Office of Legal Policy,Beth Ann Williams,Legal services,Accenture PLC,,2017,
Justice,Assistant Attorney General for the Office of the Legal Counsel,Steven A. Engel,Legal Services,AFGS LLC,,2017,
Justice,Assistant Attorney General for the Office of the Legal Counsel,Steven A. Engel,Legal Services,"Afilias USA, Inc.",,2017,
Justice,Attorney General,William P. Barr,Board Member,Aggregate Industries Mgmt Inc,,2018,2013
Justice,Assistant Attorney General for the Civil Rights Division,Eric S. Dreiband,Legal Services (client of Jones Day),Americold Logistics,,,
Justice,Assistant Attorney General for the Antitrust Division,Makan Delrahim,Legal Services,"Anthem, Inc.",,2017,
Justice,Assistant Attorney General for the Antitrust Division,Makan Delrahim,Legal Services,Ardent Health Services,,2017,
Justice,Assistant Attorney General for the Antitrust Division,Makan Delrahim,Legal Services,Ares Management LP,,2017,
Justice,Assistant Attorney General for the Office of Legal Policy,Beth Ann Williams,Legal services,Avanade Inc.,,2017,
Justice,Assistant Attorney General for the Office of Legal Policy,Beth Ann Williams,Legal services,Avison Young,,2017,
Justice,Assistant Attorney General for the Antitrust Division,Makan Delrahim,Legal Services,Baxter Healthcare,,2017,
Justice,Assistant Attorney General for the Civil Rights Division,Eric S. Dreiband,Legal Services (client of Jones Day),"Bloomberg, L.P.",,,
Justice,Assistant Attorney General for the Criminal Division,Brian Allen Benczkowski,Legal services,Blue Cross Blue Shield,,,
Justice,Assistant Attorney General for the Civil Rights Division,Eric S. Dreiband,Legal Services (client of Jones Day),BNSF Railway Company,,,
Justice,Principal Deputy Solicitor General,Noel Francisco,legal services,Boeing Company,,2017,
Justice,Assistant Attorney General for the National Security Division,John C. Demers,Vice President & Asst General Counsel,Boeing Company,,2018,
Justice,Assistant Attorney General for the National Security Division,John C. Demers,Vice President and Assistant General Counsel,Boeing Company,,,
Justice,Assistant Attorney General for the Criminal Division,Brian Allen Benczkowski,Legal services,BP America,,,
Justice,Associate Attorney General,Rachel L. Brand,Owner,"Brand Consulting, LLC",,2017,2018
Justice,Assistant Attorney General for the Antitrust Division,Makan Delrahim,Legal Services,Brentwood School,,2017,
Justice,Assistant Attorney General for the Civil Rights Division,Eric S. Dreiband,Legal Services (client of Jones Day),Bridgewater Associates,,,
Justice,Assistant Attorney General for the Antitrust Division,Makan Delrahim,Partner in Law Firm,Brownstein Hyatt Farber Schreck LLP,-0.44,2017,
Justice,Assistant Attorney General for the Antitrust Division,Makan Delrahim,Partner/Shareh older,Brownstein Hyatt Farber Schreck LLP,-0.44,2017,
Justice,Assistant Attorney General for the Antitrust Division,Makan Delrahim,Shareholder,Brownstein Hyatt Farber Schreck LLP,-0.44,2005,
Justice,Assistant Attorney General for the Antitrust Division,Makan Delrahim,Legal Services,"Caesars Interactive Entertainment, Inc.",,2017,
Justice,Assistant Attorney General for the Office of the Legal Counsel,Steven A. Engel,Legal Services,Cammeby's International,,2017,
