item,itemLabel,educated_at,educated_atLabel,degree,graduated,law rank,law conservative score,undergrad rank,notes
http://www.wikidata.org/entity/Q48743453,John C. Anderson,http://www.wikidata.org/entity/Q895401,Bowdoin College,AB,1997,,,6*,
http://www.wikidata.org/entity/Q48471887,Billy J. Williams,http://www.wikidata.org/entity/Q597236,Washington State University,AB,1981,,,166,
,Clay Fowlkes,,Arkansas State University,BA,,,,,
http://www.wikidata.org/entity/Q46303027,Ryan Patrick,http://www.wikidata.org/entity/Q812573,Baylor University,BA,2001,,,77,
http://www.wikidata.org/entity/Q42310535,Andrew Lelling,http://www.wikidata.org/entity/Q863813,Binghamton University,BA,1991,,,79,
http://www.wikidata.org/entity/Q58008030,Aaron L. Weisman,http://www.wikidata.org/entity/Q49119,Brandeis University,BA,,,,40,
http://www.wikidata.org/entity/Q4865059,Bart Davis,http://www.wikidata.org/entity/Q332498,Brigham Young University,BA,1978,,,77,
http://www.wikidata.org/entity/Q64747678,W. Stephen Muldrow,,Bucknell University,BA,1986,,,35*,
,Andrew B. Birge,,Carleton College,BA,,,,,
http://www.wikidata.org/entity/Q5300793,Doug Overbey,http://www.wikidata.org/entity/Q3445010,Carson Newman University,BA,1976,,,293,
http://www.wikidata.org/entity/Q42422254,Robert M. Duncan Jr.,http://www.wikidata.org/entity/Q1804942,Centre College,BA,,,,53*,
http://www.wikidata.org/entity/Q51741273,Sherri Lydon,,Clemson University,BA,1983,,,64,
http://www.wikidata.org/entity/Q6230524,John Durham,http://www.wikidata.org/entity/Q1191335,Colgate University,BA,1972,,,17*,
,Gretchen C.F. Shappert,,Duke University,BA,1977,,,,
http://www.wikidata.org/entity/Q48926392,Thomas T. Cullen,http://www.wikidata.org/entity/Q1475020,Furman University,BA,2000,,,46*,
http://www.wikidata.org/entity/Q48926975,Kenji M. Price,,Gonzaga University,BA,,,,79,
,James. P Kennedy,,Hamilton College,BA,,,,,
http://www.wikidata.org/entity/Q87001091,Peter M. McCoy Jr.,,Hampden-Sydney College,BA,2001,,,111*,
http://www.wikidata.org/entity/Q32059635,Jessie K. Liu,http://www.wikidata.org/entity/Q13371,Harvard University,BA,1995,,,1,
http://www.wikidata.org/entity/Q42331379,John Bash,http://www.wikidata.org/entity/Q13371,Harvard University,BA,2003,,,1,
http://www.wikidata.org/entity/Q44532195,John R. Lausch Jr.,http://www.wikidata.org/entity/Q13371,Harvard University,BA,1992,,,1,
http://www.wikidata.org/entity/Q48675953,Robert Kyoung Hur,http://www.wikidata.org/entity/Q13371,Harvard University,BA,,,,1,
http://www.wikidata.org/entity/Q48740794,Scott Brady,http://www.wikidata.org/entity/Q13371,Harvard University,BA,,,,1,
,Richard Donoghue,,Hofstra University,BA,1989,,,,
http://www.wikidata.org/entity/Q39505579,Jeffrey Jensen,http://www.wikidata.org/entity/Q6608367,Indiana University,BA,,,,79,
http://www.wikidata.org/entity/Q41593180,Thomas Kirsch,http://www.wikidata.org/entity/Q6608367,Indiana University,BA,1996,,,79,
http://www.wikidata.org/entity/Q56284266,John C. Milhiser,http://www.wikidata.org/entity/Q258943,James Madison University,BA,,,,n/r,
http://www.wikidata.org/entity/Q55238025,Matthew J. Schneider,http://www.wikidata.org/entity/Q270222,Michigan State University,BA,,,,84,
http://www.wikidata.org/entity/Q53063726,Brian T. Moran,http://www.wikidata.org/entity/Q1357891,Middlebury College,BA,,,,7*,
,William C. Lamar,,Millsaps College,BA,,,,,
,D. Michael Hurst Jr.,,Millsaps College,BA,,,,,
,Michael Sherwin,,Ohio State University,BA,,,,,
http://www.wikidata.org/entity/Q30519351,Justin Herdman,http://www.wikidata.org/entity/Q1075339,Ohio University,BA,1996,,,185,
,Craig Carpenito,,Rider University,BA,1996,,,,
http://www.wikidata.org/entity/Q43381318,William J. Powell,http://www.wikidata.org/entity/Q7404072,Salem College,BA,1982,,,132*,
http://www.wikidata.org/entity/Q47457151,McGregor W. Scott,http://www.wikidata.org/entity/Q992830,Santa Clara University,BA,,,,54,
http://www.wikidata.org/entity/Q48673968,Brandon J. Fremin,http://www.wikidata.org/entity/Q615998,Southeastern Louisiana University,BA,,,,n/r,
http://www.wikidata.org/entity/Q55238022,Robert S. Brewer Jr.,http://www.wikidata.org/entity/Q1411093,St. Lawrence University,BA,1968,,,58*,
http://www.wikidata.org/entity/Q66448890,David M. DeVillers,,State University of New York at Oswego,BA,,,,n/r,
http://www.wikidata.org/entity/Q28840361,B. J. Pak,http://www.wikidata.org/entity/Q2341039,Stetson University,BA,,,,n/r,
