District,Attorney WikidataID,Attorney,Employer,Title,Firm conservative score,Start date,End date,Notes
U.S. Attorney for the District of Rhode Island,Q58008030,Aaron L. Weisman,Jones Associates,US Attorney,,,,
U.S. Attorney for the District of Rhode Island,Q58008030,Aaron L. Weisman,Rhode Island Office of the Attorney General,Chief,,1993,2019,
U.S. Attorney for the District of Rhode Island,Q58008030,Aaron L. Weisman,Rhode Island Office of the Attorney General,Assistant Attorney General,,,,
U.S. Attorney for the District of Rhode Island,Q58008030,Aaron L. Weisman,Rhode Island Office of the Attorney General,Special Assistant Attorney General,,,,
U.S. Attorney for the W.D. of Michigan,,Andrew B. Birge,Jenner & Block LLP,Associate,-0.785,,,
U.S. Attorney for the W.D. of Michigan,,Andrew B. Birge,Michigan 8th District Court,Law Clerk,,,,
U.S. Attorney for the W.D. of Michigan,,Andrew B. Birge,United States Attorney's Office for the Western District of Michigan,First Assistant US Attorney,,2007,2017,
U.S. Attorney for the W.D. of Michigan,,Andrew B. Birge,United States Attorney's Office for the Western District of Michigan,First Assistant US Attorney,,2007,2017,
U.S. Attorney for the District of Massachusetts,Q42310535,Andrew Lelling,Goodwin Procter LLP,Senior Litigation Associate,-0.747,,,
U.S. Attorney for the District of Massachusetts,Q42310535,Andrew Lelling,LeBoeuf Lamb Greene & MacRae LLP,Litigation Associate,,,,
U.S. Attorney for the District of Massachusetts,Q42310535,Andrew Lelling,United States Attorney's Office for the District of Massachusetts,Assistant US Attorney,,,2017,
U.S. Attorney for the District of Massachusetts,Q42310535,Andrew Lelling,United States District Court for the Southern District of Georgia,Law Clerk,,1994,1995,
U.S. Attorney for the S.D. of Florida,Q54951622,Ariana Fajardo Orshan,County of Miami-Dade FL,Assistant State Attorney,,,,
U.S. Attorney for the S.D. of Florida,Q54951622,Ariana Fajardo Orshan,Eleventh Circuit Court of Florida,Judge,,2012,2018,
U.S. Attorney for the S.D. of Florida,Q54951622,Ariana Fajardo Orshan,Wilson Elser Moskowitz Edelman & Dicker LLP,Attorney,-0.406,,,
U.S. Attorney for the N.D. of Georgia,Q28840361,B.J. Pak,Georgia House of Representatives,State Representative,,2010,2017,
U.S. Attorney for the N.D. of Georgia,Q28840361,B.J. Pak,Private Practice,Attorney ,,2008,2017,
U.S. Attorney for the N.D. of Georgia,Q28840361,B.J. Pak,United States Attorney's Office for the Northern District of Georgia,Assistant US Attorney,,2002,2008,
U.S. Attorney for the N.D. of Georgia,Q28840361,B.J. Pak,United States District Court for the Central District of Illinois,Law Clerk,,1998,2000,
U.S. Attorney for the District of Idaho,Q4865059,Bart Davis,Idaho State Senate,Majority Leader / State Senator,,1998,2017,
U.S. Attorney for the District of Idaho,Q4865059,Bart Davis,Private Practice,Attorney,,,,
