District,Attorney,Wikidata ID,Political Affiliation,Federalist Society tie,Heritage Foundation tie,National Rifle Association tie,American Center for Law and Justice tie,Republican National Lawyers Association tie,Christian Legal Society (Bar Association) tie,Other
U.S. Attorney for the M.D. of Alabama,Louis V. Franklin,Q30508807,None,,,,,,,
U.S. Attorney for the N.D. of Alabama,Jay Town,Q32178229,Republican,,,,,,,Member of the Executive Committee of the Alabama Republican Party
U.S. Attorney for the S.D. of Alabama,Richard W. Moore,Q32171993,None,,,,,,,
U.S. Attorney for the District of Alaska,Bryan Schroder,Q38831261,,,,,,,,
U.S. Attorney for the District of Arizona,Michael G. Bailey,Q61750281,Republican,,,,,,,Supported by U.S. Republican Senator Martha McSally
U.S. Attorney for the E.D. of Arkansas,J. Cody Hiland,Q39439933,Republican,,,,,,,Recommended by U.S. Republican Senators John Boozman and Tom Cotton
U.S. Attorney for the W.D. of Arkansas,Duane Kees,Q45916875,Republican,1,,1,1,,,Worked for Asa Hutchinson's Law Firm (Governor of Arkansas)
U.S. Attorney for the C.D. of California,Nicola T. Hanna,Q48926431,Republican,,,,,,,
U.S. Attorney for the E.D. of California,McGregor W. Scott,Q47457151,Republcian,1,,,,,,Served in the same position under George W. Bush
U.S. Attorney for the N.D. of California ,David L. Anderson,Q16146008,,1,,,,,,
U.S. Attorney for the S.D. of California,Robert S. Brewer Jr.,Q55238022,,1,,,,,,Recommended by U.S. Democratic Senators Kamala Harris and Dianne Feinstein
U.S. Attorney for the District of Colorado,Jason R. Dunn,Q55238023,,,,,,,,
U.S. Attorney for the District of Connecticut,John Durham,Q6230524,None,,,,,,,
U.S. Attorney for the District of Delaware,David C. Weiss,Q45915219,None,,,,,,,
U.S. Attorney for the District of Columbia,Jessie K. Liu,Q32059635,,1,1,,,,,Member of the Trump-Prence Presidential Transitional Team
U.S. Attorney for the M.D. of Florida,Maria Chapa Lopez,Q53062078,Republican,,,,,,,
U.S. Attorney for the N.D. of Florida,Larry Keefe,Q56284262,Democrat,,,,,,,Based on donations he has made to Republcian national political campaigns
U.S. Attorney for the S.D. of Florida,Ariana Fajardo Orshan,Q54951622,,1,,,,,,
U.S. Attorney for the M.D. of Georgia,Charles Peeler,Q38864225,,,,,,,,
U.S. Attorney for the N.D. of Georgia,B.J. Pak,Q28840361,Republican,,,,,,,
U.S. Attorney for the S.D. of Georgia,Bobby Christine,Q42308027,,1,,,,,,
U.S. Attorney for the District of Hawaii,Kenji M. Price,Q48927544,Republican,1,,,,,,
U.S. Attorney for the District of Idaho,Bart Davis,Q4865059,Republican,1,,,,,,
U.S. Attorney for the C.D. of Illinois,John C. Milhiser,Q56284266,Republican,,,,,,,
U.S. Attorney for the N.D. of Illinois,John R. Lausch Jr.,Q44532195,None,,,,,,,
U.S. Attorney for the N.D. of Indiana,Thomas Kirsch,Q41593180,,,,,,,,
U.S. Attorney for the S.D. of Indiana,Joshua Minkler,Q39515420,,,,,,,,
U.S. Attorney for the N.D. of Iowa,Peter Deegan,Q40222043,Republican,,,,,,,
U.S. Attorney for the S.D. of Iowa,Marc Krickbaum,Q40234869,None,,,,,,,
U.S. Attorney for the District of Kansas,Stephen McAllister,Q48791963,,1,,,,,,
U.S. Attorney for the E.D. of Kentucky,Robert M. Duncan Jr.,Q42422254,Republcian,1,,,,,,"Son of Mike Duncan, who is a longtime Republican Party fundraiser and who served from 2007 to 2009 as chairman of the Republican National Committee"
U.S. Attorney for the W.D. of Kentucky,Russell Coleman,Q40338033,Republican,,,,,,,Senior Adviser and Legal Counsel to U.S. Senate Majority Leader - Mitch McConnell 
U.S. Attorney for the M.D. of Louisiana,Brandon Fremin,Q48673968,None,,,,,,,
U.S. Attorney for the W.D. of Louisiana,David C. Joseph,Q48926975,Republican,,,,,,,
