"","agency_name","position_title","attorney","employer","start_date","end_date","title","notes"
"1",NA,NA,"William Barr","Kirkland & Ellis LLP",2017,2019,"Of Counsel",NA
"2",NA,NA,"William Barr","Dominion Energy Inc",2009,2019,"Board Member",NA
"3",NA,NA,"William Barr","Time Warner Inc",2009,2018,"Board Member",NA
"4",NA,NA,"William Barr","Och-Ziff Capital Management Group LLC",2016,2018,"Board Member",NA
"5",NA,NA,"William Barr","Dominion Resources Inc",2009,2017,"Board Member",NA
"6",NA,NA,"William Barr","Holcim US Inc",2008,2013,"Board Member",NA
"7",NA,NA,"William Barr","Aggregate Industries Mgmt Inc",2018,2013,"Board Member",NA
"8",NA,NA,"William Barr","Kirkland & Ellis LLP",2009,2009,"Of Counsel",NA
"9",NA,NA,"William Barr","Verizon Communication Inc",2000,2008,"Exec VP / General Counsel",NA
"10",NA,NA,"William Barr","Gte Corp",1997,2000,"Exec VP / General Counsel",NA
"11",NA,NA,"William Barr","Gte Corp",1994,1997,"Senior VP / General Counsel",NA
"12",NA,NA,"William Barr","Shaw Pittman LLP",1993,1994,"Partner","now Pillbury Winthrop Shaw Pittman LLP"
"13",NA,NA,"William Barr","United States Department of Justice",1991,1993,"Attorney General",NA
"14",NA,NA,"William Barr","United States Department of Justice",1989,1991,"Deputy Attorney General",NA
"15",NA,NA,"William Barr","Shaw Pittman LLP",1984,1989,"Partner",NA
"16",NA,NA,"William Barr","The White House",1982,1983,"Staff",NA
"17",NA,NA,"William Barr","Shaw Pittman LLP",1978,1982,"Associate",NA
"18",NA,NA,"William Barr","United States of America",1973,1977,"Assistant Legal Counsel",NA
"19",NA,NA,"Jeffrey A. Rosen","United States Department of Transportation",NA,2019,"Deputy Secretary",NA
"20",NA,NA,"Jeffrey A. Rosen","Kirkland & Ellis LLP",2009,2017,"Senior Partner",NA
"21",NA,NA,"Jeffrey A. Rosen","The White House",2006,2009,"General Counsel",NA
"22",NA,NA,"Jeffrey A. Rosen","United States Department of Transportation",2003,2006,"General Counsel",NA
"23",NA,NA,"Jeffrey A. Rosen","Georgetown University Law Center",1996,2003,"Adjunct Professor",NA
"24",NA,NA,"Jeffrey A. Rosen","Kirkland & Ellis LLP",1982,2003,"Attorney",NA
"25",NA,NA,"Jeffrey A. Rosen","Kirkland & Ellis LLP",NA,NA,"Partner",NA
"26",NA,NA,"Noel Francisco","United States Department of Justice",2017,NA,"Senior Advisor",NA
"27",NA,NA,"Noel Francisco","United States Department of Justice",2017,2017,"Acting / Principal Deputy Solicitor General",NA
"28",NA,NA,"Noel Francisco","Jones Day LLP",2008,2017,"PArtner",NA
"29",NA,NA,"Noel Francisco","Jones Day LLP",2005,2008,"Of Counsel",NA
"30",NA,NA,"Noel Francisco","United States Department of Justice",2003,2005,"Deputy Assistant Attorney General",NA
"31",NA,NA,"Noel Francisco","The White House",2001,2003,"Associate Counsel to the President",NA
"32",NA,NA,"Noel Francisco","The White House",2001,2001,"Assistant Counsel to the President",NA
"33",NA,NA,"Noel Francisco","Cooper, Carvin & Rosenthal PLLC",1998,2001,"Associate","now Cooper & Kirk PLLC"
"34",NA,NA,"Noel Francisco","United States Supreme Court",1997,1998,"Law Clerk",NA
"35",NA,NA,"Noel Francisco","United States Court of Appeal for the Fourth Circuit",1996,1997,"Law Clerk",NA
"36",NA,NA,"Makan Delrahim","United States Department of Justice",2003,2005,"Deputy Assistant Attorney General",NA
"37",NA,NA,"Makan Delrahim","United States Senate",2000,2003,"Chief of Staff",NA
"38",NA,NA,"Makan Delrahim","Patton Boggs LLP",1995,1998,"Associate",NA
"39",NA,NA,"Makan Delrahim","Pepperdine University School of Law",2011,NA,"Adjunct Professor",NA
"40",NA,NA,"Makan Delrahim","Brownstein Hyatt Farber Schreck LLP",2005,NA,"Shareholder",NA
"41",NA,NA,"Joseph A. Hunt",NA,NA,NA,NA,NA
"42",NA,NA,"Eric Dreiband","Federalist Society for Law & Policy",NA,NA,"Chair Regulatory Reform Project",NA
"43",NA,NA,"Eric Dreiband","Jones Day LLP",NA,NA,"Partner",NA
"44",NA,NA,"Brian Benczkowski","Kirkland & Ellis LLP",NA,NA,"Partner",NA
"45",NA,NA,"Jeffrey Bossert Clark","Federalist Society for Law & Policy",NA,NA,"Chair Environment and Property Rights Practice Group",NA
"46",NA,NA,"Jeffrey Bossert Clark","Kirkland & Ellis LLP",NA,NA,"Partner",NA
"47",NA,NA,"John Demers","F. & G. Family Irrevocable Trust",NA,NA,"Trustee",NA
"48",NA,NA,"John Demers","Family Revocable Trust 1",NA,NA,"Trustee",NA
"49",NA,NA,"John Demers","Georgetown Law Center",NA,NA,"Adjunt Professor",NA
"50",NA,NA,"John Demers","Paulding LLC",NA,NA,"Agent",NA
"51",NA,NA,"John Demers","The Boeing Company",NA,NA,"Vice President and Assistant General Counsel",NA
"52",NA,NA,"Richard E. Engel",NA,NA,NA,NA,NA
"53",NA,NA,"Beth Ann Williams","Kirkland & Ellis LLP",2010,2017,"Partner",NA
"54",NA,NA,"Beth Ann Williams","Kirkland & Ellis LLP",2006,2010,"Associate",NA
"55",NA,NA,"Beth Ann Williams","United States Senate",2005,2006,"Special Counsel",NA
"56",NA,NA,"Beth Ann Williams","United States Court of Appeals for the Second Circuit",2004,2005,"Law Clerk",NA
"57",NA,NA,"Stephen Boyd","DOJ Office of Legal Policy",NA,NA,"Chief of Staff",NA
"58",NA,NA,"Stephen Boyd","U.S. Senator Jeff Sessions",NA,NA,"Chief of Staff",NA
"59",NA,NA,"Christopher A. Wray","King & Spalding LLP",2005,2017,"Partner",NA
"60",NA,NA,"Christopher A. Wray","United States Department of Justice",2003,2005,"Assistant Attorney General",NA
"61",NA,NA,"Christopher A. Wray","United States Department of Justice",2003,2003,"Acting Associate Attorney General",NA
"62",NA,NA,"Christopher A. Wray","United States Department of Justice",2001,2003,"Principal Deputy Assistant Attorney General",NA
"63",NA,NA,"Christopher A. Wray","United States Department of Justice",1997,2001,"Associate Deputy Attorney General",NA
"64",NA,NA,"Christopher A. Wray","United States Attorney's Office for the Northern District of Georgia",1997,2001,"Assistant US Attorney",NA
"65",NA,NA,"Christopher A. Wray","United States Court of Appeals for the Fourth Circuit",1992,1993,"Law Clerk",NA
"66",NA,NA,"Deline R. Reardon",NA,NA,NA,NA,NA
"67",NA,NA,"Katherine Sullivan",NA,NA,NA,NA,NA
"68",NA,NA,"Jon Adler",NA,NA,NA,NA,NA
"69",NA,NA,"Jeffrey H. Anderson",NA,NA,NA,NA,NA
"70",NA,NA,"David B. Muhlhausen",NA,NA,NA,NA,NA
"71",NA,NA,"Darlene Hutchinson Biehl",NA,NA,NA,NA,NA
"72",NA,NA,"Caren Harp",NA,NA,NA,NA,NA
"73",NA,NA,"Laura Rogers",NA,NA,NA,NA,NA
"74",NA,NA,"Shannon Lee Goessling",NA,NA,NA,NA,NA
"75",NA,NA,"Patrick Hovakimian",NA,NA,NA,NA,NA
"76",NA,NA,"Virgil Madden",NA,NA,NA,NA,NA
"77",NA,NA,"Monica David Morris",NA,NA,NA,NA,NA
"78",NA,NA,"Jeff Sessions",NA,NA,NA,NA,NA
"79",NA,NA,"Rod J. Rosenstein",NA,NA,NA,NA,NA
"80",NA,NA,"Richard E. Zuckerman",NA,NA,NA,NA,NA
"81",NA,NA,"Matthew Baughman",NA,NA,NA,NA,NA
"82",NA,NA,"Rachel L. Brand",NA,NA,NA,NA,NA
"83",NA,NA,"Sonya K. Chavez",NA,NA,NA,NA,NA
"84",NA,NA,"Jeffrey Wood",NA,NA,NA,NA,NA
"85",NA,NA,"Henry Whitaker",NA,NA,NA,NA,NA
"86",NA,NA,"Thomas Wheeler",NA,NA,NA,NA,NA
"87",NA,NA,"Thomas Ward",NA,NA,NA,NA,NA
"88",NA,NA,"Jeffrey Wall",NA,NA,NA,NA,NA
"89",NA,NA,"Jonathan Brightbill",NA,NA,NA,NA,NA
"90",NA,NA,"David Burns",NA,NA,NA,NA,NA
"91",NA,NA,"Mark Champoux",NA,NA,NA,NA,NA
"92",NA,NA,"Jeremy M. Bylund",NA,NA,NA,NA,NA
"93",NA,NA,"Steven H. Cook",NA,NA,NA,NA,NA
"94",NA,NA,"John Cronan",NA,NA,NA,NA,NA
"95",NA,NA,"James Crowell",NA,NA,NA,NA,NA
"96",NA,NA,"Ethan Davis",NA,NA,NA,NA,NA
"97",NA,NA,"Matt M. Dummermuth",NA,NA,NA,NA,NA
"98",NA,NA,"Steven A. Engel",NA,NA,NA,NA,NA
"99",NA,NA,"Stephen Cox",NA,NA,NA,NA,NA
"100",NA,NA,"Elizabeth Escolona",NA,NA,NA,NA,NA
"101",NA,NA,"Andrew Finch",NA,NA,NA,NA,NA
"102",NA,NA,"Michael Fragoso",NA,NA,NA,NA,NA
"103",NA,NA,"Curtis E. Gannon",NA,NA,NA,NA,NA
