id,name,slug,ap_name
"17","Commerce","commerce","Department of Commerce"
"60","Export-Import Bank","export-import-bank","Export-Import Bank"
"53","Federal Labor Relations Authority","federal-labor-relations-authority","Federal Labor Relations Authority"
"50","Appalachian Regional Commission","appalachian-regional-commission","Appalachian Regional Commission"
"23","Consumer Financial Protection Bureau","consumer-financial-protection-bureau","Consumer Financial Protection Bureau"
"34","African Development Bank","african-development-bank","African Development Bank"
"19","Delta Regional Authority","delta-regional-authority","Delta Regional Authority"
"42","U.S. Trade Representative","u-s-trade-representative","U.S. Trade Representative"
"26","Defense Nuclear Facilities Safety Board","defense-nuclear-facilities-safety-board","Defense Nuclear Facilities Safety Board"
"20","Occupational Safety and Health Review Commission","occupational-safety-and-health-review-commission","Occupational Safety and Health Review Commission"
"51","Trade and Development","trade-and-development","Trade and Development Agency"
"47","Millennium Challenge Corporation","millennium-challenge-corporation","Millennium Challenge Corporation"
"58","Corporation for National and Community Service","corporation-for-national-and-community-service","Corporation for National and Community Service"
"3","Education","education","Department of Education"
"52","Peace Corps","peace-corps","Peace Corps"
"25","Farm Credit Administration","farm-credit-administration","Farm Credit Administration"
"27","Federal Deposit Insurance Corporation","federal-deposit-insurance-corporation","FDIC"
"37","President's Commission on White House Fellowships","president-s-commission-on-white-house-fellowships","President's Commission on White House Fellowships"
"54","Federal Trade Commission","federal-trade-commission","Federal Trade Commission"
"22","Federal Communications Commission","federal-communications-commission","Federal Communications Commission"
"45","Navy","navy","Navy"
"44","Federal Election Commission","federal-election-commission","Federal Election Commission"
"31","Social Security Administration","social-security-administration","Social Security Administration"
"33","National Mediation Board","national-mediation-board","National Mediation Board"
"14","State","state","Department of State"
"15","Labor","labor","Department of Labor"
"13","National Transportation Safety Board","national-transportation-safety-board","NTSB"
"5","Agriculture","agriculture","Department of Agriculture"
"49","International Bank for Reconstruction and Development","international-bank-for-reconstruction-and-development","International Bank for Reconstruction and Development"
"46","Commission on Civil Rights","commission-on-civil-rights","Commission on Civil Rights"
"29","National Labor Relations Board","national-labor-relations-board","NLRB"
"38","National Endowment for the Humanities","national-endowment-for-the-humanities","National Endowment for the Humanities"
"11","U.S. International Trade Commission","u-s-international-trade-commission","International Trade Commission"
"7","National Archives and Records Administration","national-archives-and-records-administration","National Archives and Records Administration"
"24","Federal Reserve System","federal-reserve-system","Federal Reserve System"
"4","Federal Housing Finance Agency","federal-housing-finance-agency","Federal Housing Finance Agency"
"55","General Service Adminstration","general-service-adminstration","General Service Adminstration"
"59","Health and Human","health-and-human","Health and Human"
"28","Securities and Exchange Commission","securities-and-exchange-commission","SEC"
"32","Justice","justice","Department of Justice"
"2","Central Intelligence Agency","central-intelligence-agency","CIA"
"41","U.S. Agency for International Development","u-s-agency-for-international-development","USAID"
"35","Interior","interior","Department of the Interior"
"9","Council on Environmental Quality","council-on-environmental-quality","Council on Environmental Quality"
"8","Administrative Conference of the U.S.","administrative-conference-of-the-u-s","Administrative Conference of the U.S."
"68","Federal Retirement Thrift Investment Board","federal-retirement-thrift-investment-board","Federal Retirement Thrift Investment Board"
"18","Personnel Management","personnel-management","Office of Personnel Management"
"66","Homeland Security","homeland-security","Department of Homeland Security"
"62","National Aeronautics and Space Administration","national-aeronautics-and-space-administration","NASA"
"72","Equal Employment Opportunity Commission","equal-employment-opportunity-commission","Equal Employment Opportunity Commission"
