id,agency_name,name,position_title_1,position_title_2,position_title_3,grade_level,start_date,end_date,financial_disclosure_url,ethics_waiver_url,image_url,reason_for_missing_report,agency_id,slug,has_lobbyists,taskforce_member,taskforce_title,taskforce_agency,agency_slug,senate_lobbying_confirmation,last_year_lobbied,senate_lobbying_url,linkedin_url,outside_bio,bio_source,bio_url,sge,last_name,awaiting_senate_confirmation,nomination_appointment_failed,government_transfer,propublica_bio,resume_document_url,new_financial_disclosure_addition
"1932","Transportation","Geoffrey Clark Smith","Special Assistant Scheduling and Advance","Assistant Secretary for Administration","","","2017-02-28","","https://www.documentcloud.org/documents/6419804-Geoffrey-Clark-Smith-Financial-Disclosure.html","","","","36","geoffrey-clark-smith","","","","","transportation","","","","","","","","","Smith","","","","","",""
"1930","Transportation","Douglas Simon","White House Liaison","","","","2017-11-26","","https://www.documentcloud.org/documents/6419805-Douglas-Simon-Financial-Disclosure.html","","","","36","douglas-simon","","","","","transportation","","","","","","","","","Simon","","","","","https://www.documentcloud.org/documents/4824501-Douglas-Simon-Resume.html",""
"1933","Transportation","Thelma Drake","Federal Transit Administrator","","","","2018-02-14","","https://www.documentcloud.org/documents/6419800-Thelma-Drake-Financial-Disclosure.html","","","","36","thelma-drake","true","","","","transportation","","","","","","","","","Drake","true","","","","",""
"1931","Transportation","George Bryan Slater","Assistant Secretary","Assistant Secretary for Administration and Management","","","2017-02-13","2017-10-04","https://www.documentcloud.org/documents/4416575-Bryan-Slater-Financial-Disclosure.html","","","","36","george-bryan-slater-transportation","","","","","transportation","","","","","","","","true","Slater","","","Labor","","",""
"2","Energy","Auria McAlicher","Advance Lead","","","$131,767","2017-11-09","","https://www.documentcloud.org/documents/4345144-McAlicher-Auria.html","","","","75","auria-mcalicher","","","","","energy","","","","https://www.linkedin.com/in/auria-mcalicher-b629abb/","","","","","McAlicher","","","","","https://www.documentcloud.org/documents/4824445-Auria-McAlicher-Resume.html",""
"1934","Transportation","Megan P. Sweeney","Special Assistant","","","","2017-08-20","","https://www.documentcloud.org/documents/6419796-Megan-P-Sweeney-Financial-Disclosure.html","","","","36","megan-p-sweeney","","","","","transportation","","","","","","","","","Sweeney","","","","","https://www.documentcloud.org/documents/4824508-Megan-P-Sweeney-Resume.html",""
"1936","Transportation","Sharon Worthy","Director of Communications","","","","2017-05-28","","https://www.documentcloud.org/documents/6419806-Sharon-Worthy-Financial-Disclosure.html","","","","36","sharon-worthy","","","","","transportation","","","","","","","","","Worthy","","","","","",""
"1935","Transportation","Kimberly Jane Williams","Deputy Administrator","","","","2017-08-21","","https://www.documentcloud.org/documents/6419811-Kimberly-Jane-Williams-Financial-Disclosure.html","","","","36","kimberly-jane-williams","","","","","transportation","false","","","","","","","","Williams","","","","","https://www.documentcloud.org/documents/4824398-Kimberly-Jane-Williams-Resume.html",""
"8","Agriculture","Campbell Eileen Shuford","Confidential Assistant","Confidential Assistant for Special Projects","","$66,510","2017-01-20","","https://www.documentcloud.org/documents/4345155-Shuford-Campbell.html","","","","5","campbell-eileen-shuford","","","","","agriculture","","","","https://www.linkedin.com/in/campbellshuford/","","","","","Shuford","","","","","https://www.documentcloud.org/documents/4824426-Campbell-Eileen-Shuford-Resume.html",""
"62","Environmental Protection Agency","David Harlow","Senior Counsel to the Assistant Administrator for Air and Radiation","","","","2017-10-01","","https://www.documentcloud.org/documents/4387746-David-Harlow-Financial-Disclosure.html","","","","67","david-harlow","","","","","environmental-protection-agency","","","","https://www.linkedin.com/in/david-harlow-0a9b22127/","","","","","Harlow","","","","","",""
"41","Environmental Protection Agency","Susan Bodine","Senior Advisor to the Administrator","","","$155,500","2017-08-13","","https://www.documentcloud.org/documents/4387730-Susan-Bodine-Financial-Disclosure.html","","","","67","susan-bodine","true","","","","environmental-protection-agency","","","","https://www.linkedin.com/in/susan-bodine-206b7b10/","From 2015-2017, Bodine served as chief counsel at the EPW Committee. From 2009-2015, Bodine was a partner at Barnes and Thornburg. During the last three years of the Bush administration, she served as the assistant administrator for EPA’s Office of Solid Waste and Emergency Response. Prior to that, Bodine was staff director of the Subcommittee on Water Resources and Environment of the House Transportation and Infrastructure Committee.","U.S. Senate Committee on Environment and Public Works","https://www.epw.senate.gov/public/index.cfm/2017/12/senate-confirms-susan-bodine-to-lead-epa-enforcement-office","","Bodine","","","","","",""
"61","Environmental Protection Agency","Dawn Michelle Hale","Executive Assistant to the Administrator","","","AD-00","2017-02-16","","https://www.documentcloud.org/documents/4387745-Dawn-Michelle-Hale-Financial-Disclosure.html","","","","67","dawn-michelle-hale","","","","","environmental-protection-agency","","","","https://www.linkedin.com/in/michelle-hale-14323827/","","","","","Hale","","","","","",""
"1937","Transportation","Richard Anthony Balzano","Deputy Administrator","","","","2017-10-29","","https://www.documentcloud.org/documents/6419810-Richard-Anthony-Balzano-Financial-Disclosure.html","","","","36","richard-anthony-balzano","","","","","transportation","","","","","","","","","Balzano","","","","","https://www.documentcloud.org/documents/4824404-Richard-Anthony-Balzano-Resume.html",""
"6","Agriculture","Brenton Coy McNeely","White House Liaison","","","$79,720","2017-02-02","2018-03-03","https://www.documentcloud.org/documents/4345145-McNeely-Brenton.html","","","","5","brenton-coy-mcneely","","","","","agriculture","","","","","","","","","McNeely","","","","","https://www.documentcloud.org/documents/4824405-Brenton-Coy-McNeely-Resume.html",""
"1938","Transportation","Gabrielle Rose Basile","Special Assistant for Scheduling and Advance","Special Assistant for Scheduling and Advance","","","2017-04-12","2018-07-06","https://www.documentcloud.org/documents/6419808-Gabrielle-Rose-Basile-Financial-Disclosure.html","","","","36","gabrielle-rose-basile","","","","","transportation","","","","","","","","","Basile","","","","","",""
"1939","Transportation","Anthony Bedell","Deputy Assistant Secretary for Intergovernmental Affairs","","","","2017-05-01","","https://www.documentcloud.org/documents/6419801-Anthony-Bedell-Financial-Disclosure.html","","","","36","anthony-bedell","true","","","","transportation","","","","","","","","","Bedell","","","","","",""
"13","Agriculture","James \"Jim\" L. Renne","Special Assistant","Market and Regulations","","$161,900","2017-01-30","","https://www.documentcloud.org/documents/4345152-Renne-James.html","","","","5","james-jim-l-renne","","","","","agriculture","","","","","","","","","Renne","","","","","https://www.documentcloud.org/documents/4824395-James-Jim-L-Renne-Resume.html",""
"1940","Transportation","Douglas R. Burnett","Chief Counsel","","","","2017-11-06","","https://www.documentcloud.org/documents/6419828-Douglas-R-Burnett-Financial-Disclosure.html","","","","36","douglas-r-burnett","","","","","transportation","","","","","","","","","Burnett","","","","","https://www.documentcloud.org/documents/4824410-Douglas-R-Burnett-Resume.html",""
"247","Housing and Urban Development","Benjamin DeMarzo","Director of Advance","Director, Office Of Executive Scheduling And
 Advance","","$94,796","2017-04-18","","https://www.documentcloud.org/documents/4387570-Benjamin-DeMarzo-Financial-Disclosure.html","","","","82","benjamin-demarzo","","","","","housing-and-urban-development","","","","","","","","","DeMarzo","","","","","",""
"63","Environmental Protection Agency","James Hewitt","Special Advisor for Public Affairs","","","$114,590-$148,967","2017-07-02","","https://www.documentcloud.org/documents/4387743-James-Hewitt-Financial-Disclosure.html","","","","67","james-hewitt","","","","","environmental-protection-agency","","","","https://www.linkedin.com/in/james-hewitt-91616968/","","","","","Hewitt","","","","","",""
"14","Agriculture","Jordan P. Bonfitto","Staff Assistant","Special Assistant","","$44,941","2017-06-27","","https://www.documentcloud.org/documents/4345134-Bonfitto-Jordan.html","","","","5","jordan-p-bonfitto","","","","","agriculture","","","","https://www.linkedin.com/in/jordan-bonfitto-a19708ba/","","","","","Bonfitto","","","White House Office","","",""
"15","White House Office","Jordan P. Bonfitto","Policy Advisor","","","$69,581","","","https://www.documentcloud.org/documents/6419480-Jordan-P-Bonfitto-Financial-Disclosure.html","","","","39","jordan-p-bonfitto-white-house-office","","","","","white-house-office","","","","","","","","","Bonfitto","","","","","https://www.documentcloud.org/documents/4824346-Jordan-Bonfitto-Resume.html",""
"1941","Transportation","Grover C. Burthey","Deputy Assistant Secretary for Transportation Policy","","","","2017-08-20","2019-01-31","https://www.documentcloud.org/documents/6419827-Grover-C-Burthey-Financial-Disclosure.html","","","","36","grover-c-burthey","","","","","transportation","","","","","","","","","Burthey","","","","","https://www.documentcloud.org/documents/4824355-Grover-C-Burthey-Resume.html",""
"1942","Transportation","Peter E. Cipriano","Administrator","Special Assistant","","","2017-08-06","","https://www.documentcloud.org/documents/6419807-Peter-E-Cipriano-Financial-Disclosure.html","","","","36","peter-e-cipriano","","","","","transportation","","","","","","","","","Cipriano","","","","","https://www.documentcloud.org/documents/4824434-Peter-E-Cipriano-Resume.html",""
"11","White House Office","Dino Luigi LaVerghetta","Special Assistant to the President and Associate Counsel to the President","","","$145,000","","","https://www.documentcloud.org/documents/4345141-LaVerghetta-Dino.html","","","","39","dino-luigi-laverghetta","","","","","white-house-office","","","","https://www.linkedin.com/in/dinolaverghetta/","Mr. LaVerghetta has broad experience representing companies throughout the country in matters relating to fraud, corruption, and bribery. He has conducted litigation and investigations implicating a number of regulatory regimes, including the False Claims Act (FCA), the Foreign Corrupt Practices Act (FCPA) and those statutes’ state law equivalents. Mr. LaVerghetta also has significant experience representing banks and other financial services companies in conjunction with investigations by the CFPB, DOJ, Congress, and other regulators. Mr. LaVerghetta maintains an active pro bono practice. His pro bono work has included the drafting of amicus briefs on behalf of the Innocence Project and the representation of refugees seeking political asylum.","LinkedIn","https://www.linkedin.com/in/dinolaverghetta/","","LaVerghetta","","","","","https://www.documentcloud.org/documents/4824498-Dino-Luigi-LaVerghetta-Resume.html",""
