id,name_rus,name_eng,position_rus,position_eng,office_rus,office_eng,date_of_appointment,gender,year_of_birth,age,birth_place_region_rus,birth_place_region_eng,birth_place_location_rus,birth_place_location_eng,university_rus,university_eng,grad_year,ed_level_rus,ed_level_eng,employer_rus,employer_eng,`,emp_region_eng,start_date,end_date,last_title_rus,last_title_eng,2019_fired,2020_fired,image,staff_income,spouse_income,income_2019,income_2018,notes_rus,notes_eng
194,Авагумян Г.К.,Avagumyan G.K.,заместитель начальника управления Главного управления,Deputy Head of Department,Генеральная прокуратура,General Prosecutor's Office of the Urals Federal District,,male,,,,,,,,,,специалист,specialist,,,,,,,,,,,,"1 935 131,00","1 721,00",,1,,
1,,,,,,,,,,,,,,,,,,,,Прокуратура Севастополя,The Prosecutor's Office of Sevastopol,Крым,Crimea,2003,2014,Глава отдела,Head of the department,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,Прокуратура Севастополя,The Prosecutor's Office of Sevastopol,Крым,Crimea,2014,2018,Прокурор региона,region prosecutor,,,,,,,,,
25,Авдеев Александр Вячеславович,Avdeev Alexander Vyacheslavovich,Прокурор региона,region prosecutor,Калининградская область,Kaliningrad region,2020,male,1982,38,Ленинградская область,Leningrad region,Лениниград (Санкт-Петербург),Leninigrad (St. Petersburg),Санкт-Петербургский университет МВД,St. Petersburg University of the Ministry of Interior,2002,специалист,specialist,МВД Санкт-Петербурга,Ministry of Internal Affairs of St. Petersburg,Санкт-Петербург,St. Petersburg,1999,2003,,,,,https://lh3.googleusercontent.com/proxy/yE9eHngqhzdSVXUSFDCx3DCdGeWPRACXMEGYh2GbhP8Guj3ljzYbbbgd9WKooiogsNYxp8oZb_VATqmmmLd3bsdxUa-Ysb4zT_s_yK4RTCVm7lFXqN611IouLcQcQrocBhbE,"1 849 064,00","956 287,00",1,,,
2,,,,,,,,,,,,,,,,,,,,Прокуратура Алтайского края,The Prosecutor's Office of the Altai Territory,Алтайский край,Altai region,1978,1993,Прокурор Алтайского района Бийска,Attorney of Biysk at Altai region,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,Прокуратура Алтайского края,The Prosecutor's Office of the Altai Territory,Алтайский край,Altai region,1993,2002,Прокурор Барнаула,Attorney of Barnaul,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,Прокуратура Алтайского края,The Prosecutor's Office of the Altai Territory,Алтайский край,Altai region,2002,2009,Заместитель прокурора региона,The deputy prosecutor of the region,,,,,,,,,
150,Агальцов Валерий Станиславович,Agaltsov Valery Stanislavovich,начальник управления,Head of Department,Генеральная прокуратура,General prosecutor's Office,,male,1966,54,,,,,Московский государственный институт международных отношений,Moscow State Institute of International Relations,1992,специалист,specialist,Совет Федерации,Council of the Federation,Москва,Moscow,,,заместитель начальника Управления международных связей,Deputy Head of Department of International Relations,,,,"3 628 988,00","2 200 771,00",1,,,
3,,,,,,,,,,,,,,,,,,,,Прокуратура Алтайского края,The Prosecutor's Office of the Altai Territory,Алтайский край,Altai region,2007,2016,Первый заместитель прокурора региона,The first deputy prosecutor of the region,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,Прокуратура Ставропольского края,The prosecutor's office of the Stavropol Territory,Ставропольский край,Stavropol region,2016,2019,Прокурор региона,region prosecutor,,,,,,,,,
149,Александров Михаил Юрьевич,Alexandrov Mikhail Yurievich,начальник управления,Head of Department,Управление Генеральной прокуратуры в Северо-Кавказском федеральном округе,General Prosecutor's Office of the North Caucasian Federal District,2020,male,1972,48,,,,,Поморский государственный университет,Pomor State University,1998,специалист,specialist,Прокуратура Архангельской области,The prosecutor's office of the Arkhangelsk region,Архангельская область,Arhangelsk region,1998,2014,,,,,https://s0.rbk.ru/v6_top_pics/resized/1180xH/media/img/9/68/755791631412689.jpg,"3 883 113,00","1 833 125,00",1,,,
4,,,,,,,,,,,,,,,,,,,,Прокуратура Алтайского края,The Prosecutor's Office of the Altai Territory,Алтайский край,Altai region,2007,2010,Глава управления,Head of management,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,Прокуратура Волгоградской области,The Prosecutor's Office of the Volgograd region,Волгоградская область,Volgograd region,2010,2019,Первый заместитель прокурора региона,The first deputy prosecutor of the region,,,,,,,,,
44,Анисимов Геннадий Геннадьевич,Anisimov Gennadiy Gennadievich,Прокурор региона,region prosecutor,Липецкая область,Lipetsk region,2020,male,1979,41,Саратовская область,Saratov region,Балаково,Balakovo,Ивановский государственный университет,Ivanovo State University,2001,кандидат юридических наук,Candidate of Legal Sciences,Прокуратура Костромской области,The prosecutor's office of the Kostroma region,Костромская область,Kostroma region,2001,2013,Прокурор районов,district Attorney,,,http://www.sarprok.ru/sites/default/files/rukov/anisimov_0.jpg,"2 840 640,46","1 571 252,17",1,,,
5,,,,,,,,,,,,,,,,,,,,Дальневосточная транспортная прокуратура,Far Eastern Transport Prosecutor's Office,Амурская область,Amur region,1997,2000,Следователь,Investigator,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,Забайкальская транспортная прокуратура,Zabaikalskaya transport prosecutor's office,Амурская область,Amur region,2000,2001,Заместитель прокурора,deputy Attorney,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,Прокуратура Амурской области,The prosecutor's office of the Amur Region,Амурская область,Amur region,2001,2014,Прокурор Благовещенска,The prosecutor of Blagoveshchensk,,,,,,,,,
