Id,person,url,position_current,size,nameTrump
3,"Andrew Lelling",https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Andrew_E._Lelling.jpg/220px-Andrew_E._Lelling.jpg,"U.S. Attorney for the District of Massachusetts",0,
4,"Ariana Fajardo Orshan",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Ariana_Fajardo_Orshan_official_portrait.jpg/220px-Ariana_Fajardo_Orshan_official_portrait.jpg,"U.S. Attorney for the S.D. of Florida",0,
6,"Bart Davis",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/2017.11.10_USA_Davis_Photo_Blue_Suit.jpg/220px-2017.11.10_USA_Davis_Photo_Blue_Suit.jpg,"U.S. Attorney for the District of Idaho",0,
7,"Beth Ann Williams",https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Beth_Ann_Williams_official_photo.jpg/220px-Beth_Ann_Williams_official_photo.jpg,"Assistant Attorney General for the Office of Legal Policy",0,
9,"Bobby Christine",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Bobby_Christine.jpg/220px-Bobby_Christine.jpg,"U.S. Attorney for the S.D. of Georgia",0,
12,"Brian Kuester",https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Brian_Kuester_official_photo.jpg/220px-Brian_Kuester_official_photo.jpg,"U.S. Attorney for the E.D. of Oklahoma",0,
15,"Charles Peeler",https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Charles_E._Peeler.jpg/220px-Charles_E._Peeler.jpg,"U.S. Attorney for the M.D. of Georgia",0,
17,"Clay Fowlkes",NA,"U.S. Attorney for the W.D. of Arkansas",0,
18,"Craig Carpenito",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Craig_Carpenito.jpg/220px-Craig_Carpenito.jpg,"U.S. Attorney for the District of New Jersey",0,
19,"D. Michael Dunavant",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/D._Michael_Dunavant_official_photo.jpg/220px-D._Michael_Dunavant_official_photo.jpg,"U.S. Attorney for the W.D. of Tennessee",0,
20,"D. Michael Hurst Jr.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/D._Michael_Hurst_Jr._official_photo.jpg/220px-D._Michael_Hurst_Jr._official_photo.jpg,"U.S. Attorney for the S.D. of Mississippi",0,
21,"David C. Joseph",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/David_C._Joseph_official_photo.jpg/220px-David_C._Joseph_official_photo.jpg,"U.S. Attorney for the W.D. of Louisiana",0,
22,"David C. Weiss",https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Davidweiss.jpg/220px-Davidweiss.jpg,"U.S. Attorney for the District of Delaware",0,
23,"David Freed",https://upload.wikimedia.org/wikipedia/commons/3/39/David_J._Freed_official_photo.jpg,"U.S. Attorney for the M.D. of Pennsylvania",0,
25,"David M. DeVillers",https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/US_Attorney_DeVillers.jpg/220px-US_Attorney_DeVillers.jpg,"U.S. Attorney for the S.D. Ohio",0,
26,"Donald Q. Cochran",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Donald_Q._Cochran_official_photo.jpg/220px-Donald_Q._Cochran_official_photo.jpg,"U.S. Attorney for the M.D. of Tennessee",0,
27,"Doug Overbey",https://upload.wikimedia.org/wikipedia/commons/4/4e/J._Douglas_Overbey_official_photo.jpg,"U.S. Attorney for the E.D. of Tennessee",0,
28,"Drew Wrigley",https://upload.wikimedia.org/wikipedia/commons/5/57/Drew_Wrigley_-_official_U.S._Attorney_portrait.jpg,"U.S. Attorney for the District of North Dakota",0,
29,"Duane Kees",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Duane_Kees_official_photo.jpg/220px-Duane_Kees_official_photo.jpg,"U.S. Attorney for the W.D. of Arkansas",0,
30,"Eric S. Dreiband",https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Eric_S._Dreiband_official_photo.jpg/220px-Eric_S._Dreiband_official_photo.jpg,"Assistant Attorney General for the Civil Rights Division",0,
32,"Erin Nealy Cox",https://upload.wikimedia.org/wikipedia/commons/3/33/Erin_Nealy_Cox_official_photo.jpg,"U.S. Attorney for the N.D. of Texas",0,
33,"G. Zachary Terwilliger",https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/G._Zachary_Terwilliger_official_photo.jpg/220px-G._Zachary_Terwilliger_official_photo.jpg,"U.S. Attorney for the E.D. of Virginia",0,
34,"Geoffrey Berman",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Geoffrey_S._Berman.jpg/220px-Geoffrey_S._Berman.jpg,"U.S. Attorney for the S.D. of New York",0,
35,"Grant C. Jaquith",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/GCJaquith.jpg/220px-GCJaquith.jpg,"U.S. Attorney for the N.D. of New York",0,
36,"Gretchen C.F. Shappert",https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iC7lWpqE824M/v3/140x140.jpg,"U.S. Attorney for the District of the Virgin Islands",0,
38,"J. Cody Hiland",https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/J._Cody_Hiland_official_photo.jpg/220px-J._Cody_Hiland_official_photo.jpg,"U.S. Attorney for the E.D. of Arkansas",0,
39,"James. P Kennedy",https://www.justice.gov/sites/default/files/styles/width_3/public/pages/images/2018/04/16/jp_usa.jpg?itok=6Ay9lyDB,"U.S. Attorney for the W.D. of New York",0,
41,"Jay Town",https://upload.wikimedia.org/wikipedia/commons/b/b2/Jay_Town_official_portrait.jpg,"U.S. Attorney for the N.D. of Alabama",0,
44,"Jeffrey Bossert Clark",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Jeffrey_Bossert_Clark_official_photo.jpg/220px-Jeffrey_Bossert_Clark_official_photo.jpg,"Assistant Attorney General for the Environment and Natural Resources Division",0,
46,"Jessie K. Liu",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Jessie_K._Liu_official_photo.jpg/220px-Jessie_K._Liu_official_photo.jpg,"U.S. Attorney for the District of Columbia",0,
47,"John Bash",https://upload.wikimedia.org/wikipedia/commons/5/5c/John_Bash.jpg,"U.S. Attorney for the W.D. of Texas",0,
54,"Joseph D. Brown",https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Joseph_D._Brown_official_photo.jpg/220px-Joseph_D._Brown_official_photo.jpg,"U.S. Attorney for the E.D. of Texas",0,
55,"Joseph H. Hunt",https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Jody_Hunt_official_photo.jpg/220px-Jody_Hunt_official_photo.jpg,"Assistant Attorney General for the Civil Division",0,
56,"Joseph P. Kelly",https://upload.wikimedia.org/wikipedia/commons/4/40/Joseph_P_Kelly.jpg,"U.S. Attorney for the District of Nebraska",0,
58,"Justin Herdman",https://upload.wikimedia.org/wikipedia/commons/8/81/Justin_Herdman_official_photo.jpg,"U.S. Attorney for the N.D. of Ohio",0,
59,"Kenji M. Price",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Kenji_M_Price.jpg/220px-Kenji_M_Price.jpg,"U.S. Attorney for the District of Hawaii",0,
