Source,Target,Type,Id,Label,timeset,Weight
4,506,Directed,2,,,1
6,506,Directed,4,,,1
9,506,Directed,8,,,1
12,506,Directed,9,,,1
15,506,Directed,10,,,1
17,506,Directed,12,,,1
19,506,Directed,14,,,1
21,506,Directed,16,,,1
22,506,Directed,17,,,1
23,506,Directed,18,,,1
25,506,Directed,19,,,1
27,506,Directed,21,,,1
29,506,Directed,26,,,1
32,506,Directed,29,,,1
33,506,Directed,31,,,1
35,506,Directed,33,,,1
36,506,Directed,34,,,1
38,506,Directed,35,,,1
39,506,Directed,36,,,1
54,506,Directed,44,,,1
56,506,Directed,46,,,1
61,506,Directed,50,,,1
65,506,Directed,53,,,1
69,506,Directed,57,,,1
73,506,Directed,59,,,1
77,506,Directed,63,,,1
78,506,Directed,64,,,1
79,506,Directed,66,,,1
80,506,Directed,67,,,1
81,506,Directed,69,,,1
84,506,Directed,71,,,1
85,506,Directed,72,,,1
87,506,Directed,76,,,1
88,506,Directed,78,,,1
90,506,Directed,83,,,1
91,506,Directed,84,,,1
92,506,Directed,87,,,1
94,506,Directed,88,,,1
95,506,Directed,90,,,1
97,506,Directed,91,,,1
98,506,Directed,92,,,1
99,506,Directed,94,,,1
103,506,Directed,98,,,1
104,506,Directed,101,,,1
105,506,Directed,103,,,1
107,506,Directed,104,,,1
108,506,Directed,105,,,1
