Id,person,url,position_current,law,law_conservative_score,law_rank,size,nameTrump
4,"Ariana Fajardo Orshan",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Ariana_Fajardo_Orshan_official_portrait.jpg/220px-Ariana_Fajardo_Orshan_official_portrait.jpg,"U.S. Attorney for the S.D. of Florida","Nova Southeastern University",-0.224,157,0,
6,"Bart Davis",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/2017.11.10_USA_Davis_Photo_Blue_Suit.jpg/220px-2017.11.10_USA_Davis_Photo_Blue_Suit.jpg,"U.S. Attorney for the District of Idaho","University of Idaho",0.212,115,0,
9,"Bobby Christine",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Bobby_Christine.jpg/220px-Bobby_Christine.jpg,"U.S. Attorney for the S.D. of Georgia","Cumberland University",0.382,148,0,
12,"Brian Kuester",https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Brian_Kuester_official_photo.jpg/220px-Brian_Kuester_official_photo.jpg,"U.S. Attorney for the E.D. of Oklahoma","University of Tulsa",-0.109,102,0,
15,"Charles Peeler",https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Charles_E._Peeler.jpg/220px-Charles_E._Peeler.jpg,"U.S. Attorney for the M.D. of Georgia","University of Georgia",-0.185,29,0,
17,"Clay Fowlkes",NA,"U.S. Attorney for the W.D. of Arkansas",NA,NA,NA,0,
19,"D. Michael Dunavant",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/D._Michael_Dunavant_official_photo.jpg/220px-D._Michael_Dunavant_official_photo.jpg,"U.S. Attorney for the W.D. of Tennessee","University of Mississippi",0.406,92,0,
21,"David C. Joseph",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/David_C._Joseph_official_photo.jpg/220px-David_C._Joseph_official_photo.jpg,"U.S. Attorney for the W.D. of Louisiana","Louisiana State University",0.278,102,0,
22,"David C. Weiss",https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Davidweiss.jpg/220px-Davidweiss.jpg,"U.S. Attorney for the District of Delaware","Widener University",-0.229,173,0,
23,"David Freed",https://upload.wikimedia.org/wikipedia/commons/3/39/David_J._Freed_official_photo.jpg,"U.S. Attorney for the M.D. of Pennsylvania","Dickinson Law",-0.337,52,0,
25,"David M. DeVillers",https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/US_Attorney_DeVillers.jpg/220px-US_Attorney_DeVillers.jpg,"U.S. Attorney for the S.D. Ohio","Capital University",-0.041,166,0,
27,"Doug Overbey",https://upload.wikimedia.org/wikipedia/commons/4/4e/J._Douglas_Overbey_official_photo.jpg,"U.S. Attorney for the E.D. of Tennessee","University of Tennessee, Knoxville",-0.267,64,0,
29,"Duane Kees",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Duane_Kees_official_photo.jpg/220px-Duane_Kees_official_photo.jpg,"U.S. Attorney for the W.D. of Arkansas","University of Arkansas, Little Rock",-0.29,148,0,
32,"Erin Nealy Cox",https://upload.wikimedia.org/wikipedia/commons/3/33/Erin_Nealy_Cox_official_photo.jpg,"U.S. Attorney for the N.D. of Texas","University of Texas, Austin",-0.165,15,0,
33,"G. Zachary Terwilliger",https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/G._Zachary_Terwilliger_official_photo.jpg/220px-G._Zachary_Terwilliger_official_photo.jpg,"U.S. Attorney for the E.D. of Virginia","William & Mary",-0.414,36,0,
35,"Grant C. Jaquith",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/GCJaquith.jpg/220px-GCJaquith.jpg,"U.S. Attorney for the N.D. of New York","University of Florida",-0.214,29,0,
36,"Gretchen C.F. Shappert",https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iC7lWpqE824M/v3/140x140.jpg,"U.S. Attorney for the District of the Virgin Islands",NA,NA,NA,0,
38,"J. Cody Hiland",https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/J._Cody_Hiland_official_photo.jpg/220px-J._Cody_Hiland_official_photo.jpg,"U.S. Attorney for the E.D. of Arkansas","University of Arkansas, Little Rock",-0.29,148,0,
39,"James. P Kennedy",https://www.justice.gov/sites/default/files/styles/width_3/public/pages/images/2018/04/16/jp_usa.jpg?itok=6Ay9lyDB,"U.S. Attorney for the W.D. of New York",NA,NA,NA,0,
54,"Joseph D. Brown",https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Joseph_D._Brown_official_photo.jpg/220px-Joseph_D._Brown_official_photo.jpg,"U.S. Attorney for the E.D. of Texas","Southern Methodist University",0.029,43,0,
56,"Joseph P. Kelly",https://upload.wikimedia.org/wikipedia/commons/4/40/Joseph_P_Kelly.jpg,"U.S. Attorney for the District of Nebraska","University of Nebraska",-0.005,88,0,
61,"Larry Keefe",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Lawrence_A._Keefe.jpg/220px-Lawrence_A._Keefe.jpg,"U.S. Attorney for the N.D. of Florida","University of Florida",-0.214,29,0,
65,"Maria Chapa Lopez",https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Maria_Chapa_Lopez_official_photo.jpg/220px-Maria_Chapa_Lopez_official_photo.jpg,"U.S. Attorney for the M.D. of Florida","South Texas College of Law",-0.08,148,0,
69,"Matthew Martin",https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Matthew_Martin.jpg/220px-Matthew_Martin.jpg,"U.S. Attorney for the M.D. of North Carolina","University of North Carolina, Chapel Hill",-0.391,43,0,
73,"Michael Sherwin",https://www.justice.gov/sites/default/files/styles/width_2/public/pages/images/2020/05/21/michaelsherwin.jpg?itok=Z3JEy7EY,"U.S. Attorney for the District of Columbia",NA,NA,NA,0,
77,"Peter Deegan",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Peter_E._Deegan_Jr_official_photo.jpg/220px-Peter_E._Deegan_Jr_official_photo.jpg,"U.S. Attorney for the N.D. of Iowa","Wayne State University",-0.311,64,0,
78,"Peter G. Strasser",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/P.G.Strasser.jpg/220px-P.G.Strasser.jpg,"U.S. Attorney for the E.D. of Louisiana","Washington and Lee University",-0.401,29,0,
79,"Peter M. McCoy Jr.",https://pbs.twimg.com/profile_images/1077402119605547008/I6S7lWdM_400x400.jpg,"U.S. Attorney for the District of South Carolina","Regent University",0.264,102,0,
80,"R. Andrew Murray",https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/R._Andrew_Murray_official_photo.jpg/220px-R._Andrew_Murray_official_photo.jpg,"U.S. Attorney for the W.D. of North Carolina","University of North Carolina, Chapel Hill",-0.391,43,0,
81,"R. Trent Shores",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/R._Trent_Shores_official_photo.jpg/220px-R._Trent_Shores_official_photo.jpg,"U.S. Attorney for the N.D. of Oklahoma","University of Oklahoma",0.062,77,0,
84,"Richard W. Moore",https://upload.wikimedia.org/wikipedia/commons/3/35/Richard_W._Moore_official_portrait.jpg,"U.S. Attorney for the S.D. of Alabama","Cumberland University",0.382,148,0,
85,"Robert Higdon Jr.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Robert_Higdon_Jr._official_photo.jpg/220px-Robert_Higdon_Jr._official_photo.jpg,"U.S. Attorney for the E.D. of North Carolina","Wake Forest University",-0.349,36,0,
87,"Robert M. Duncan Jr.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Robert_M._Duncan_Jr.jpg/220px-Robert_M._Duncan_Jr.jpg,"U.S. Attorney for the E.D. of Kentucky","University of Kentucky",0.039,92,0,
88,"Robert S. Brewer Jr.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/RobertSBrewer.jpg/220px-RobertSBrewer.jpg,"U.S. Attorney for the S.D. of California","University of San Diego",-0.256,58,0,
90,"Ron A. Parsons Jr.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Ron_A._Parsons_Jr._Official_Portrait.png/220px-Ron_A._Parsons_Jr._Official_Portrait.png,"U.S. Attorney for the District of South Dakota","University of South Dakota",0.061,157,0,
91,"Russell Coleman",https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Russell_Coleman_official_photo.jpg/220px-Russell_Coleman_official_photo.jpg,"U.S. Attorney for the W.D. of Kentucky","University of Kentucky",0.039,92,0,
92,"Ryan Patrick",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/US_Attorney_Ryan_Patrick.jpg/220px-US_Attorney_Ryan_Patrick.jpg,"U.S. Attorney for the S.D. of Texas","South Texas College of Law",-0.08,148,0,
94,"Scott Brady",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Scott_Brady_official_photo.jpg/220px-Scott_Brady_official_photo.jpg,"U.S. Attorney for the W.D. of Pennsylvania","Dickinson Law",-0.337,52,0,
95,"Scott W. Murray",https://upload.wikimedia.org/wikipedia/commons/5/5f/Scott_murray_photo.jpg,"U.S. Attorney for the District of New Hampshire","University of New Hampshire",-0.14,88,0,
97,"Sherri Lydon",https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Sherri_A._Lydon_official_photo.jpg/220px-Sherri_A._Lydon_official_photo.jpg,"U.S. Attorney for the District of South Carolina","University of South Carolina",0.171,92,0,
98,"Stephen Boyd",https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Stephen_E._Boyd_official_photo_2.jpg/220px-Stephen_E._Boyd_official_photo_2.jpg,"Assistant Attorney General for Legislative Affairs",NA,NA,NA,0,
99,"Stephen McAllister",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Stephen_R._McAllister_official_photo.jpg/220px-Stephen_R._McAllister_official_photo.jpg,"U.S. Attorney for the District of Kansas","University of Kansas",-0.391,77,0,
103,"Thomas T. Cullen",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Thomas_T._Cullen_official_photo.jpg/220px-Thomas_T._Cullen_official_photo.jpg,"U.S. Attorney for the W.D. of Virginia","William & Mary",-0.414,36,0,
104,"Timothy A. Garrison",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Garrison.timothy.jpg/220px-Garrison.timothy.jpg,"U.S. Attorney for the W.D. of Missouri","University of Missouri",-0.197,77,0,
105,"Timothy J. Downing",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Timothy_Downing.jpg/220px-Timothy_Downing.jpg,"U.S. Attorney for the W.D. of Oklahoma","Regent University",0.264,102,0,
107,"William C. Lamar",https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/William_C._Lamar.jpg/220px-William_C._Lamar.jpg,"U.S. Attorney for the N.D. of Mississippi","University of Mississippi",0.406,92,0,
108,"William D. Hyslop",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Hyslop-Official-Photo.jpg/220px-Hyslop-Official-Photo.jpg,"U.S. Attorney for the E.D. of Washington","Gonzaga University",-0.404,102,0,
506,"Law Schools",https://www.usnews.com/dims4/USNEWS/8b148bc/2147483647/thumbnail/640x420/quality/85/?url=http%3A%2F%2Fmedia.beam.usnews.com%2F1f%2Fd3a4bb5675c302ba39cbed80c5cd2d%2F31082FE_DA_120725_law-school.jpg,,,,NA,47,
