Id,person,url,position_current,law_conservative_score,law_rank,size
15,"Charles Peeler",https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Charles_E._Peeler.jpg/220px-Charles_E._Peeler.jpg,"U.S. Attorney for the M.D. of Georgia",-0.185,29,0
18,"Craig Carpenito",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Craig_Carpenito.jpg/220px-Craig_Carpenito.jpg,"U.S. Attorney for the District of New Jersey",-0.467,64,0
20,"D. Michael Hurst Jr.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/D._Michael_Hurst_Jr._official_photo.jpg/220px-D._Michael_Hurst_Jr._official_photo.jpg,"U.S. Attorney for the S.D. of Mississippi",-0.841,21,0
30,"Eric S. Dreiband",https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Eric_S._Dreiband_official_photo.jpg/220px-Eric_S._Dreiband_official_photo.jpg,"Assistant Attorney General for the Civil Rights Division",NA,NA,0
41,"Jay Town",https://upload.wikimedia.org/wikipedia/commons/b/b2/Jay_Town_official_portrait.jpg,"U.S. Attorney for the N.D. of Alabama",-0.467,64,0
55,"Joseph H. Hunt",https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Jody_Hunt_official_photo.jpg/220px-Jody_Hunt_official_photo.jpg,"Assistant Attorney General for the Civil Division",NA,NA,0
58,"Justin Herdman",https://upload.wikimedia.org/wikipedia/commons/8/81/Justin_Herdman_official_photo.jpg,"U.S. Attorney for the N.D. of Ohio",-0.816,1,0
63,"Makan Delrahim",https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Makan_Delrahim_official_photo.jpg/220px-Makan_Delrahim_official_photo.jpg,"Assistant Attorney General for the Antitrust Division",-0.841,21,0
67,"Matthew J. Schneider",https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Matthew_schneider.jpg/220px-Matthew_schneider.jpg,"U.S. Attorney for the E.D. of Michigan",-0.776,8,0
76,"Noel Francisco",https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Noel_Francisco_official_photo.jpg/220px-Noel_Francisco_official_photo.jpg,"Principal Deputy Solicitor General",-0.833,4,0
85,"Robert Higdon Jr.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Robert_Higdon_Jr._official_photo.jpg/220px-Robert_Higdon_Jr._official_photo.jpg,"U.S. Attorney for the E.D. of North Carolina",-0.349,36,0
86,"Robert K. Hur",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Robert_Hur_Official_Photo.jpg/220px-Robert_Hur_Official_Photo.jpg,"U.S. Attorney for the District of Maryland",NA,NA,0
88,"Robert S. Brewer Jr.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/RobertSBrewer.jpg/220px-RobertSBrewer.jpg,"U.S. Attorney for the S.D. of California",-0.256,58,0
89,"Rod J. Rosenstein",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Rod_Rosenstein_official_portrait_2.jpg/220px-Rod_Rosenstein_official_portrait_2.jpg,"Deputy Attorney General",-0.816,1,0
94,"Scott Brady",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Scott_Brady_official_photo.jpg/220px-Scott_Brady_official_photo.jpg,"U.S. Attorney for the W.D. of Pennsylvania",-0.337,52,0
507,"Law Firms",https://s3-prod.chicagobusiness.com/s3fs-public/styles/width_280/public/ISSUE01-306259998-AR.jpeg,,,NA,15
