Source,Target,Type,Id,Label,timeset,Weight
3,502,Directed,0,,,1
4,502,Directed,1,,,1
6,502,Directed,2,,,1
7,502,Directed,3,,,1
7,503,Directed,4,,,1
9,502,Directed,5,,,1
26,502,Directed,6,,,1
28,504,Directed,7,,,1
29,500,Directed,8,,,1
29,502,Directed,9,,,1
29,504,Directed,10,,,1
32,502,Directed,11,,,1
33,502,Directed,12,,,1
34,502,Directed,13,,,1
44,502,Directed,14,,,1
44,503,Directed,15,,,1
46,502,Directed,16,,,1
46,503,Directed,17,,,1
47,502,Directed,18,,,1
54,504,Directed,19,,,1
58,502,Directed,20,,,1
59,502,Directed,21,,,1
63,502,Directed,22,,,1
67,502,Directed,23,,,1
68,502,Directed,24,,,1
70,502,Directed,25,,,1
76,502,Directed,26,,,1
76,503,Directed,27,,,1
79,504,Directed,28,,,1
81,502,Directed,29,,,1
82,502,Directed,30,,,1
87,502,Directed,31,,,1
88,502,Directed,32,,,1
89,502,Directed,33,,,1
89,503,Directed,34,,,1
92,501,Directed,35,,,1
92,502,Directed,36,,,1
99,502,Directed,37,,,1
100,502,Directed,38,,,1
103,502,Directed,39,,,1
103,505,Directed,40,,,1
104,502,Directed,41,,,1
104,505,Directed,42,,,1
105,502,Directed,43,,,1
109,502,Directed,44,,,1
