Id,person,url,position_current,size
3,"Andrew Lelling",https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Andrew_E._Lelling.jpg/220px-Andrew_E._Lelling.jpg,"U.S. Attorney for the District of Massachusetts",0
4,"Ariana Fajardo Orshan",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Ariana_Fajardo_Orshan_official_portrait.jpg/220px-Ariana_Fajardo_Orshan_official_portrait.jpg,"U.S. Attorney for the S.D. of Florida",0
6,"Bart Davis",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/2017.11.10_USA_Davis_Photo_Blue_Suit.jpg/220px-2017.11.10_USA_Davis_Photo_Blue_Suit.jpg,"U.S. Attorney for the District of Idaho",0
7,"Beth Ann Williams",https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Beth_Ann_Williams_official_photo.jpg/220px-Beth_Ann_Williams_official_photo.jpg,"Assistant Attorney General for the Office of Legal Policy",0
9,"Bobby Christine",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Bobby_Christine.jpg/220px-Bobby_Christine.jpg,"U.S. Attorney for the S.D. of Georgia",0
26,"Donald Q. Cochran",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Donald_Q._Cochran_official_photo.jpg/220px-Donald_Q._Cochran_official_photo.jpg,"U.S. Attorney for the M.D. of Tennessee",0
28,"Drew Wrigley",https://upload.wikimedia.org/wikipedia/commons/5/57/Drew_Wrigley_-_official_U.S._Attorney_portrait.jpg,"U.S. Attorney for the District of North Dakota",0
29,"Duane Kees",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Duane_Kees_official_photo.jpg/220px-Duane_Kees_official_photo.jpg,"U.S. Attorney for the W.D. of Arkansas",0
32,"Erin Nealy Cox",https://upload.wikimedia.org/wikipedia/commons/3/33/Erin_Nealy_Cox_official_photo.jpg,"U.S. Attorney for the N.D. of Texas",0
33,"G. Zachary Terwilliger",https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/G._Zachary_Terwilliger_official_photo.jpg/220px-G._Zachary_Terwilliger_official_photo.jpg,"U.S. Attorney for the E.D. of Virginia",0
34,"Geoffrey Berman",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Geoffrey_S._Berman.jpg/220px-Geoffrey_S._Berman.jpg,"U.S. Attorney for the S.D. of New York",0
44,"Jeffrey Bossert Clark",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Jeffrey_Bossert_Clark_official_photo.jpg/220px-Jeffrey_Bossert_Clark_official_photo.jpg,"Assistant Attorney General for the Environment and Natural Resources Division",0
46,"Jessie K. Liu",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Jessie_K._Liu_official_photo.jpg/220px-Jessie_K._Liu_official_photo.jpg,"U.S. Attorney for the District of Columbia",0
47,"John Bash",https://upload.wikimedia.org/wikipedia/commons/5/5c/John_Bash.jpg,"U.S. Attorney for the W.D. of Texas",0
54,"Joseph D. Brown",https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Joseph_D._Brown_official_photo.jpg/220px-Joseph_D._Brown_official_photo.jpg,"U.S. Attorney for the E.D. of Texas",0
58,"Justin Herdman",https://upload.wikimedia.org/wikipedia/commons/8/81/Justin_Herdman_official_photo.jpg,"U.S. Attorney for the N.D. of Ohio",0
59,"Kenji M. Price",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Kenji_M_Price.jpg/220px-Kenji_M_Price.jpg,"U.S. Attorney for the District of Hawaii",0
63,"Makan Delrahim",https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Makan_Delrahim_official_photo.jpg/220px-Makan_Delrahim_official_photo.jpg,"Assistant Attorney General for the Antitrust Division",0
67,"Matthew J. Schneider",https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Matthew_schneider.jpg/220px-Matthew_schneider.jpg,"U.S. Attorney for the E.D. of Michigan",0
68,"Matthew Krueger",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Matt_Krueger_official_photo.jpg/220px-Matt_Krueger_official_photo.jpg,"U.S. Attorney for the E.D. of Wisconsin",0
70,"McGregor W. Scott",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/McGregor_W._Scott_official_photo.jpg/220px-McGregor_W._Scott_official_photo.jpg,"U.S. Attorney for the E.D. of California",0
76,"Noel Francisco",https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Noel_Francisco_official_photo.jpg/220px-Noel_Francisco_official_photo.jpg,"Principal Deputy Solicitor General",0
79,"Peter M. McCoy Jr.",https://pbs.twimg.com/profile_images/1077402119605547008/I6S7lWdM_400x400.jpg,"U.S. Attorney for the District of South Carolina",0
81,"R. Trent Shores",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/R._Trent_Shores_official_photo.jpg/220px-R._Trent_Shores_official_photo.jpg,"U.S. Attorney for the N.D. of Oklahoma",0
82,"Rachel L. Brand",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Rachel_Brand_official_photo.jpg/220px-Rachel_Brand_official_photo.jpg,"Associate Attorney General",0
87,"Robert M. Duncan Jr.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Robert_M._Duncan_Jr.jpg/220px-Robert_M._Duncan_Jr.jpg,"U.S. Attorney for the E.D. of Kentucky",0
88,"Robert S. Brewer Jr.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/RobertSBrewer.jpg/220px-RobertSBrewer.jpg,"U.S. Attorney for the S.D. of California",0
89,"Rod J. Rosenstein",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Rod_Rosenstein_official_portrait_2.jpg/220px-Rod_Rosenstein_official_portrait_2.jpg,"Deputy Attorney General",0
92,"Ryan Patrick",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/US_Attorney_Ryan_Patrick.jpg/220px-US_Attorney_Ryan_Patrick.jpg,"U.S. Attorney for the S.D. of Texas",0
99,"Stephen McAllister",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Stephen_R._McAllister_official_photo.jpg/220px-Stephen_R._McAllister_official_photo.jpg,"U.S. Attorney for the District of Kansas",0
100,"Steven A. Engel",https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Steven_Engel_official_photo.jpg/220px-Steven_Engel_official_photo.jpg,"Assistant Attorney General for the Office of the Legal Counsel",0
103,"Thomas T. Cullen",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Thomas_T._Cullen_official_photo.jpg/220px-Thomas_T._Cullen_official_photo.jpg,"U.S. Attorney for the W.D. of Virginia",0
104,"Timothy A. Garrison",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Garrison.timothy.jpg/220px-Garrison.timothy.jpg,"U.S. Attorney for the W.D. of Missouri",0
105,"Timothy J. Downing",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Timothy_Downing.jpg/220px-Timothy_Downing.jpg,"U.S. Attorney for the W.D. of Oklahoma",0
109,"William M. McSwain",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/William_M._McSwain.jpg/220px-William_M._McSwain.jpg,"U.S. Attorney for the E.D. of Pennsylvania",0
